205 4.133624 -1 -1 
206 5.086538 0.642889 1.207276 205
207 4.481643 0.401378 0.981968 205
208 3.423479 0.406476 0.137587 205
209 3.786513 0.442933 1.015702 205
210 4.305154 0.162102 0.543994 205
211 4.911516 0.216089 0.200025 210,206
212 4.402583 0.186686 0.203866 210,207
213 3.491294 0.113353 0.190807 208,210
214 3.565465 0.089187 0.189619 209,210
215 6.674588 0.167759 0.517524 205
216 5.095199 0.153371 0.201073 215,206
217 5.017185 0.201073 0.215949 215,207
218 4.333091 0.096311 0.195695 208,215
219 3.747542 0.092749 0.184521 209,215
220 4.200532 0.176279 0.493498 205
221 3.472438 0.091632 0.207219 220,206
222 3.494297 0.085066 0.195765 207,220
223 3.490038 0.085066 0.212736 208,220
224 4.775884 0.091143 0.196394 209,220
225 4.831199 0.177397 0.493988 205
226 3.738044 0.086114 0.196882 225,206
227 4.353764 0.100990 0.194788 225,207
228 3.607580 0.087581 0.194298 208,225
229 3.842177 0.065581 0.194228 209,225
230 3.663313 -1 -1 211
231 4.708347 0.588623 1.083028 212,230
232 3.435072 0.461791 0.975543 230,213
233 4.169942 0.452781 0.955917 214,230
234 4.202558 0.200863 0.527720 216,230
235 4.807313 0.090724 0.153231 234,217,231
236 3.800411 0.113492 0.131791 234,218,232
237 4.179161 0.090165 0.205054 234,219,233
238 5.870855 0.173765 0.528418 230,221
239 4.500431 0.084997 0.193809 238,231,222
240 3.462170 0.084508 0.190248 223,238,232
241 3.479561 0.087581 0.190108 224,238,233
242 4.207377 0.163010 0.496991 226,230
243 3.505751 0.083041 0.196393 227,231,242
244 3.506729 0.092819 0.198908 228,232,242
245 3.587047 0.065650 0.203448 242,229,233
246 3.019726 -1 -1 235
247 3.345746 0.592185 1.077930 236,246
248 3.343510 0.474711 0.960038 246,237
249 5.805834 0.184521 0.534635 246,239
250 3.431161 0.089676 0.163917 247,249,240
251 3.498138 0.116285 0.115937 241,249,248
252 5.638424 0.178934 0.524508 246,243
253 3.495694 0.087162 0.200654 252,244,247
254 3.929548 0.062019 0.193181 252,245,248
255 3.360901 -1 -1 250
256 3.776596 0.589600 1.090082 251,255
257 4.267090 0.200375 0.539454 253,255
258 3.603459 0.168108 13.183583 256,257,254
259 2.429986 -1 -1 258
