1044, strsm, M640x640x4_M640x1x4, 1640960,
1047, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1050, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1053, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1056, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1061, strsm, M640x640x4_M640x1x4, 1640960,
1064, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1067, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1070, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1075, strsm, M640x640x4_M640x1x4, 1640960,
1078, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1081, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1086, strsm, M640x640x4_M640x1x4, 1640960,
1089, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1094, strsm, M640x640x4_M640x1x4, 1640960,
1099, strsm, M640x640x4_M640x1x4, 1640960,
1102, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1106, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1110, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1114, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1120, strsm, M640x640x4_M640x1x4, 1640960,
1123, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1126, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1129, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1134, strsm, M640x640x4_M640x1x4, 1640960,
1137, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1140, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1145, strsm, M640x640x4_M640x1x4, 1640960,
1148, sgemm, M640x640x4_M640x1x4_M640x1x4, 1643520,
1153, strsm, M640x640x4_M640x1x4, 1640960,
