sgetrf_nopiv	2	3686400	617e5fe6	101.192609000
strsm	4	7372800	ff82dda0	98.660119000
strsm	3	7372800	ff82dda0	98.667929000
strsm	1	7372800	ff82dda0	98.664406000
strsm	0	7372800	ff82dda0	130.479326000
strsm	5	7372800	ff82dda0	140.089222000
strsm	0	7372800	ff82dda0	19.912016000
strsm	5	7372800	ff82dda0	10.374100000
strsm	6	7372800	ff82dda0	150.348902000
strsm	7	7372800	ff82dda0	150.488852000
strsm	4	7372800	ff82dda0	51.736091000
strsm	3	7372800	ff82dda0	51.738054000
strsm	2	7372800	ff82dda0	146.598942000
strsm	1	7372800	ff82dda0	124.915135000
sgemm	5	11059200	24c84a50	73.210013000
sgemm	7	11059200	24c84a50	74.083260000
sgemm	2	11059200	24c84a50	77.211909000
sgemm	1	11059200	24c84a50	50.776195000
sgemm	6	11059200	24c84a50	115.944793000
sgemm	5	11059200	24c84a50	261.115390000
sgemm	2	11059200	24c84a50	257.089937000
sgemm	3	11059200	24c84a50	334.313331000
sgemm	1	11059200	24c84a50	210.513676000
sgemm	4	11059200	24c84a50	456.960972000
sgemm	7	11059200	24c84a50	382.864850000
sgemm	1	11059200	24c84a50	122.897805000
sgemm	0	11059200	24c84a50	485.417107000
sgemm	3	11059200	24c84a50	283.063663000
sgemm	7	11059200	24c84a50	190.741914000
sgemm	0	11059200	24c84a50	163.324322000
sgemm	5	11059200	24c84a50	314.619089000
sgemm	4	11059200	24c84a50	193.522942000
sgemm	1	11059200	24c84a50	193.230195000
sgemm	3	11059200	24c84a50	55.038882000
sgemm	5	11059200	24c84a50	52.650200000
sgemm	7	11059200	24c84a50	112.685776000
strsm	2	7372800	ff82dda0	426.170473000
sgemm	3	11059200	24c84a50	88.123792000
sgemm	1	11059200	24c84a50	111.315213000
sgemm	7	11059200	24c84a50	17.740191000
strsm	2	7372800	ff82dda0	110.582127000
sgemm	3	11059200	24c84a50	110.559951000
strsm	5	7372800	ff82dda0	169.582466000
sgemm	1	11059200	24c84a50	109.248337000
sgemm	7	11059200	24c84a50	92.847260000
sgemm	4	11059200	24c84a50	238.735513000
strsm	2	7372800	ff82dda0	75.373355000
sgemm	4	11059200	24c84a50	57.435048000
sgemm	7	11059200	24c84a50	75.580043000
sgemm	5	11059200	24c84a50	127.397194000
sgemm	3	11059200	24c84a50	127.449109000
sgemm	7	11059200	24c84a50	148.777225000
sgemm	5	11059200	24c84a50	96.915660000
sgemm	0	11059200	24c84a50	446.975397000
sgemm	0	11059200	24c84a50	93.915428000
sgemm	5	11059200	24c84a50	93.998234000
sgemm	3	11059200	24c84a50	190.927797000
sgemm	1	11059200	24c84a50	318.426119000
sgemm	4	11059200	24c84a50	268.443870000
sgemm	4	11059200	24c84a50	71.718494000
sgemm	5	11059200	24c84a50	97.332916000
strsm	2	7372800	ff82dda0	340.319508000
strsm	4	7372800	ff82dda0	102.170330000
sgemm	4	11059200	24c84a50	16.122882000
sgemm	2	11059200	24c84a50	118.339164000
sgemm	7	11059200	24c84a50	309.808702000
strsm	5	7372800	ff82dda0	118.394611000
sgemm	1	11059200	24c84a50	215.758836000
sgemm	0	11059200	24c84a50	232.380093000
sgemm	3	11059200	24c84a50	255.686879000
sgemm	4	11059200	24c84a50	40.317039000
sgemm	4	11059200	24c84a50	112.771001000
sgemm	7	11059200	24c84a50	153.095479000
sgemm	1	11059200	24c84a50	153.102887000
sgemm	2	11059200	24c84a50	153.100937000
sgemm	3	11059200	24c84a50	113.181272000
sgemm	0	11059200	24c84a50	136.511547000
sgemm	0	11059200	24c84a50	95.944672000
sgemm	3	11059200	24c84a50	95.949759000
sgemm	5	11059200	24c84a50	241.312783000
sgemm	2	11059200	24c84a50	95.949667000
sgemm	4	11059200	24c84a50	95.943016000
sgemm	7	11059200	24c84a50	119.415200000
sgemm	1	11059200	24c84a50	119.868033000
sgemm	4	11059200	24c84a50	109.625966000
sgemm	5	11059200	24c84a50	109.638721000
sgemm	7	11059200	24c84a50	85.762135000
sgemm	3	11059200	24c84a50	109.675174000
sgemm	5	11059200	24c84a50	38.041864000
strsm	2	7372800	ff82dda0	143.128445000
sgemm	4	11059200	24c84a50	96.646542000
strsm	7	7372800	ff82dda0	96.646275000
sgemm	0	11059200	24c84a50	206.340467000
sgemm	2	11059200	24c84a50	59.095855000
sgemm	5	11059200	24c84a50	82.920658000
strsm	4	7372800	ff82dda0	131.017509000
sgemm	7	11059200	24c84a50	130.982316000
sgemm	1	11059200	24c84a50	313.451725000
sgemm	2	11059200	24c84a50	129.853685000
strsm	0	7372800	ff82dda0	131.006521000
sgemm	3	11059200	24c84a50	228.812686000
sgemm	1	11059200	24c84a50	135.414213000
sgemm	1	11059200	24c84a50	63.229929000
sgemm	7	11059200	24c84a50	198.670870000
sgemm	2	11059200	24c84a50	198.669712000
sgemm	5	11059200	24c84a50	304.781677000
sgemm	3	11059200	24c84a50	284.846645000
sgemm	0	11059200	24c84a50	285.941131000
sgemm	1	11059200	24c84a50	162.403176000
strsm	5	7372800	ff82dda0	163.234332000
sgemm	7	11059200	24c84a50	163.247572000
strsm	2	7372800	ff82dda0	163.247194000
sgemm	3	11059200	24c84a50	101.018916000
sgemm	0	11059200	24c84a50	103.208317000
sgemm	4	11059200	24c84a50	389.137606000
sgemm	3	11059200	24c84a50	50.362039000
sgemm	5	11059200	24c84a50	76.199262000
sgemm	7	11059200	24c84a50	118.129932000
sgemm	0	11059200	24c84a50	106.847510000
sgemm	4	11059200	24c84a50	172.781675000
sgemm	5	11059200	24c84a50	125.117472000
sgemm	1	11059200	24c84a50	202.187081000
sgemm	0	11059200	24c84a50	67.584247000
sgemm	3	11059200	24c84a50	149.243040000
sgemm	4	11059200	24c84a50	100.688769000
sgemm	3	11059200	24c84a50	76.046149000
sgemm	2	11059200	24c84a50	300.744195000
sgemm	7	11059200	24c84a50	182.649500000
sgemm	1	11059200	24c84a50	185.640071000
sgemm	3	11059200	24c84a50	86.213191000
sgemm	4	11059200	24c84a50	181.069310000
sgemm	3	11059200	24c84a50	94.825560000
sgemm	1	11059200	24c84a50	94.819254000
sgemm	2	11059200	24c84a50	205.478946000
sgemm	0	11059200	24c84a50	327.677593000
sgemm	0	11059200	24c84a50	46.909493000
sgemm	7	11059200	24c84a50	269.072279000
sgemm	0	11059200	24c84a50	161.159814000
sgemm	1	11059200	24c84a50	255.608000000
sgemm	2	11059200	24c84a50	231.198898000
sgemm	3	11059200	24c84a50	255.588266000
sgemm	5	11059200	24c84a50	536.160549000
sgemm	4	11059200	24c84a50	255.619969000
sgemm	7	11059200	24c84a50	162.338706000
strsm	2	7372800	ff82dda0	33.289589000
sgemm	5	11059200	24c84a50	78.509809000
sgemm	4	11059200	24c84a50	79.033549000
sgemm	0	11059200	24c84a50	105.540857000
sgemm	1	11059200	24c84a50	107.246430000
sgemm	3	11059200	24c84a50	130.536057000
sgemm	5	11059200	24c84a50	95.778933000
sgemm	1	11059200	24c84a50	67.050864000
sgemm	1	11059200	24c84a50	48.788473000
sgemm	4	11059200	24c84a50	144.104048000
sgemm	0	11059200	24c84a50	141.191457000
sgemm	7	11059200	24c84a50	287.552240000
sgemm	0	11059200	24c84a50	107.259460000
sgemm	5	11059200	24c84a50	181.422775000
strsm	2	7372800	ff82dda0	322.397333000
sgemm	1	11059200	24c84a50	167.665703000
strsm	2	7372800	ff82dda0	99.711908000
sgemm	4	11059200	24c84a50	232.367568000
sgemm	5	11059200	24c84a50	104.975666000
sgemm	3	11059200	24c84a50	357.704716000
sgemm	4	11059200	24c84a50	61.024592000
sgemm	5	11059200	24c84a50	74.530278000
sgemm	0	11059200	24c84a50	381.327144000
sgemm	2	11059200	24c84a50	281.497797000
sgemm	7	11059200	24c84a50	448.373527000
sgemm	4	11059200	24c84a50	220.542254000
strsm	1	7372800	ff82dda0	382.828906000
sgemm	3	11059200	24c84a50	287.235097000
sgemm	1	11059200	24c84a50	73.277149000
strsm	4	7372800	ff82dda0	109.914980000
sgemm	0	11059200	24c84a50	110.008304000
sgemm	7	11059200	24c84a50	112.079081000
sgemm	4	11059200	24c84a50	67.317555000
sgemm	5	11059200	24c84a50	379.130383000
sgemm	3	11059200	24c84a50	139.762187000
strsm	2	7372800	ff82dda0	215.003518000
sgemm	4	11059200	24c84a50	38.632249000
sgemm	5	11059200	24c84a50	87.158594000
sgemm	4	11059200	24c84a50	49.567740000
sgemm	3	11059200	24c84a50	110.909040000
sgemm	1	11059200	24c84a50	212.654373000
sgemm	4	11059200	24c84a50	57.344633000
sgemm	0	11059200	24c84a50	277.112278000
sgemm	5	11059200	24c84a50	122.606669000
sgemm	4	11059200	24c84a50	64.223635000
sgemm	0	11059200	24c84a50	23.770009000
sgemm	2	11059200	24c84a50	218.961673000
sgemm	0	11059200	24c84a50	49.240603000
sgemm	4	11059200	24c84a50	119.288993000
sgemm	1	11059200	24c84a50	183.800986000
sgemm	2	11059200	24c84a50	141.992502000
sgemm	5	11059200	24c84a50	189.114599000
sgemm	1	11059200	24c84a50	71.853048000
sgemm	0	11059200	24c84a50	162.244709000
sgemm	7	11059200	24c84a50	510.898334000
sgemm	2	11059200	24c84a50	133.408514000
sgemm	7	11059200	24c84a50	86.477068000
sgemm	5	11059200	24c84a50	133.249315000
sgemm	1	11059200	24c84a50	132.624230000
sgemm	3	11059200	24c84a50	461.438948000
sgemm	4	11059200	24c84a50	244.705104000
sgemm	7	11059200	24c84a50	73.129886000
sgemm	0	11059200	24c84a50	205.326800000
sgemm	5	11059200	24c84a50	118.240863000
strsm	0	7372800	ff82dda0	93.869794000
sgemm	2	11059200	24c84a50	212.128985000
sgemm	3	11059200	24c84a50	171.141497000
sgemm	7	11059200	24c84a50	139.016033000
sgemm	4	11059200	24c84a50	273.167351000
sgemm	3	11059200	24c84a50	102.651904000
sgemm	1	11059200	24c84a50	313.387014000
sgemm	0	11059200	24c84a50	202.807488000
sgemm	7	11059200	24c84a50	202.825551000
strsm	5	7372800	ff82dda0	296.718765000
sgemm	3	11059200	24c84a50	123.648534000
sgemm	1	11059200	24c84a50	123.648666000
sgemm	1	11059200	24c84a50	111.470234000
sgemm	4	11059200	24c84a50	239.502729000
sgemm	2	11059200	24c84a50	342.191944000
sgemm	0	11059200	24c84a50	139.334740000
sgemm	3	11059200	24c84a50	240.184493000
sgemm	2	11059200	24c84a50	128.723726000
sgemm	4	11059200	24c84a50	128.729995000
sgemm	1	11059200	24c84a50	155.501721000
sgemm	3	11059200	24c84a50	85.321690000
sgemm	1	11059200	24c84a50	81.971326000
sgemm	2	11059200	24c84a50	109.239207000
sgemm	3	11059200	24c84a50	50.397918000
sgemm	5	11059200	24c84a50	483.813437000
sgemm	0	11059200	24c84a50	344.526367000
sgemm	3	11059200	24c84a50	80.007860000
sgemm	7	11059200	24c84a50	591.281740000
sgemm	3	11059200	24c84a50	108.180096000
sgemm	4	11059200	24c84a50	324.008003000
sgemm	1	11059200	24c84a50	215.425953000
sgemm	2	11059200	24c84a50	265.870389000
sgemm	0	11059200	24c84a50	280.890061000
sgemm	5	11059200	24c84a50	280.936144000
sgemm	2	11059200	24c84a50	121.618243000
sgemm	3	11059200	24c84a50	172.746831000
sgemm	1	11059200	24c84a50	172.749328000
sgemm	4	11059200	24c84a50	172.779225000
sgemm	7	11059200	24c84a50	173.584910000
sgemm	2	11059200	24c84a50	16.665701000
sgemm	5	11059200	24c84a50	67.736325000
sgemm	4	11059200	24c84a50	82.798858000
sgemm	1	11059200	24c84a50	82.862667000
sgemm	7	11059200	24c84a50	101.454260000
sgemm	2	11059200	24c84a50	108.332367000
sgemm	7	11059200	24c84a50	47.384210000
sgemm	5	11059200	24c84a50	91.482265000
sgemm	0	11059200	24c84a50	244.259365000
sgemm	2	11059200	24c84a50	119.224642000
strsm	1	7372800	ff82dda0	161.386401000
sgemm	7	11059200	24c84a50	96.544863000
strsm	4	7372800	ff82dda0	213.352354000
sgemm	1	11059200	24c84a50	51.899975000
sgemm	0	11059200	24c84a50	67.974764000
sgemm	3	11059200	24c84a50	313.155665000
sgemm	4	11059200	24c84a50	54.601768000
sgemm	2	11059200	24c84a50	137.220218000
sgemm	1	11059200	24c84a50	113.278320000
sgemm	2	11059200	24c84a50	62.091147000
sgemm	3	11059200	24c84a50	167.726310000
sgemm	4	11059200	24c84a50	229.785865000
sgemm	2	11059200	24c84a50	136.928436000
sgemm	5	11059200	24c84a50	406.294740000
sgemm	0	11059200	24c84a50	268.432008000
sgemm	7	11059200	24c84a50	363.099800000
sgemm	1	11059200	24c84a50	283.775093000
sgemm	4	11059200	24c84a50	112.587828000
sgemm	7	11059200	24c84a50	84.759193000
sgemm	5	11059200	24c84a50	158.919869000
sgemm	4	11059200	24c84a50	95.938616000
sgemm	1	11059200	24c84a50	162.943811000
sgemm	5	11059200	24c84a50	116.770555000
sgemm	4	11059200	24c84a50	67.175257000
sgemm	0	11059200	24c84a50	275.530599000
sgemm	3	11059200	24c84a50	692.116316000
strsm	2	7372800	ff82dda0	592.295465000
