sgemm	4	3145728	45a71dee	128.008454000
sgemm	0	3145728	45a71dee	40.816361000
sgemm	5	3145728	45a71dee	40.815462000
sgemm	6	3145728	45a71dee	96.739113000
sgemm	3	3145728	45a71dee	40.765892000
sgemm	4	3145728	45a71dee	40.802339000
strsm	2	2097152	e6adb9cb	116.438740000
sgemm	0	3145728	45a71dee	75.599474000
sgemm	1	3145728	45a71dee	208.266816000
sgemm	3	3145728	45a71dee	95.611845000
sgemm	0	3145728	45a71dee	20.353931000
sgemm	6	3145728	45a71dee	95.936201000
sgemm	1	3145728	45a71dee	20.353846000
sgemm	4	3145728	45a71dee	95.983013000
sgemm	5	3145728	45a71dee	95.991632000
sgemm	0	3145728	45a71dee	47.161733000
sgemm	2	3145728	45a71dee	67.487030000
sgemm	5	3145728	45a71dee	47.135897000
sgemm	4	3145728	45a71dee	47.148980000
sgemm	6	3145728	45a71dee	95.806466000
sgemm	0	3145728	45a71dee	48.613514000
sgemm	3	3145728	45a71dee	96.165216000
sgemm	5	3145728	45a71dee	48.616295000
sgemm	1	3145728	45a71dee	95.839026000
sgemm	4	3145728	45a71dee	84.347245000
sgemm	2	3145728	45a71dee	84.362000000
sgemm	1	3145728	45a71dee	35.696105000
strsm	3	2097152	e6adb9cb	35.719631000
sgemm	5	3145728	45a71dee	59.971051000
sgemm	6	3145728	45a71dee	60.349006000
strsm	0	2097152	e6adb9cb	60.338433000
sgemm	1	3145728	45a71dee	24.584350000
sgemm	3	3145728	45a71dee	24.521226000
sgemm	4	3145728	45a71dee	24.655312000
strsm	5	2097152	e6adb9cb	29.807477000
sgemm	0	3145728	45a71dee	33.910317000
sgemm	1	3145728	45a71dee	33.951528000
sgemm	3	3145728	45a71dee	33.947475000
sgemm	5	3145728	45a71dee	4.448584000
strsm	6	2097152	e6adb9cb	52.136668000
sgemm	4	3145728	45a71dee	52.074124000
sgemm	3	3145728	45a71dee	25.718790000
sgemm	2	3145728	45a71dee	84.255776000
sgemm	4	3145728	45a71dee	7.698914000
sgemm	5	3145728	45a71dee	25.885921000
sgemm	0	3145728	45a71dee	25.902694000
sgemm	1	3145728	45a71dee	25.502681000
sgemm	6	3145728	45a71dee	42.097347000
sgemm	4	3145728	45a71dee	34.435865000
sgemm	3	3145728	45a71dee	34.590252000
sgemm	1	3145728	45a71dee	34.415609000
sgemm	0	3145728	45a71dee	71.186076000
sgemm	2	3145728	45a71dee	71.271638000
sgemm	5	3145728	45a71dee	71.198631000
sgemm	0	3145728	45a71dee	48.597842000
sgemm	6	3145728	45a71dee	85.362641000
sgemm	3	3145728	45a71dee	85.352095000
sgemm	5	3145728	45a71dee	48.598029000
sgemm	4	3145728	45a71dee	108.626782000
sgemm	2	3145728	45a71dee	72.337522000
sgemm	1	3145728	45a71dee	109.103872000
sgemm	3	3145728	45a71dee	23.688945000
sgemm	5	3145728	45a71dee	23.721487000
sgemm	4	3145728	45a71dee	35.268804000
sgemm	6	3145728	45a71dee	58.328663000
sgemm	1	3145728	45a71dee	34.795373000
sgemm	5	3145728	45a71dee	34.781416000
sgemm	0	3145728	45a71dee	58.539268000
sgemm	2	3145728	45a71dee	84.920540000
sgemm	0	3145728	45a71dee	50.073003000
sgemm	1	3145728	45a71dee	50.072504000
strsm	3	2097152	e6adb9cb	84.912243000
sgemm	5	3145728	45a71dee	50.102368000
sgemm	4	3145728	45a71dee	50.132748000
sgemm	6	3145728	45a71dee	72.566424000
sgemm	4	3145728	45a71dee	22.423544000
sgemm	4	3145728	45a71dee	36.215740000
sgemm	5	3145728	45a71dee	58.685630000
sgemm	2	3145728	45a71dee	58.685993000
sgemm	0	3145728	45a71dee	58.693057000
sgemm	0	3145728	45a71dee	44.255999000
sgemm	6	3145728	45a71dee	80.515683000
strsm	3	2097152	e6adb9cb	102.920970000
sgemm	1	3145728	45a71dee	102.966222000
sgemm	4	3145728	45a71dee	44.291909000
strsm	3	2097152	e6adb9cb	40.402668000
sgemm	0	3145728	45a71dee	40.558110000
sgemm	2	3145728	45a71dee	84.858104000
sgemm	1	3145728	45a71dee	40.577724000
sgemm	5	3145728	45a71dee	84.907705000
sgemm	6	3145728	45a71dee	58.420556000
sgemm	0	3145728	45a71dee	22.154024000
sgemm	0	3145728	45a71dee	23.320647000
sgemm	1	3145728	45a71dee	45.487288000
strsm	3	2097152	e6adb9cb	48.981974000
sgemm	2	3145728	45a71dee	70.483770000
sgemm	0	3145728	45a71dee	37.460261000
sgemm	1	3145728	45a71dee	37.477180000
sgemm	4	3145728	45a71dee	146.072676000
sgemm	6	3145728	45a71dee	111.731545000
sgemm	1	3145728	45a71dee	61.358613000
strsm	2	2097152	e6adb9cb	96.588624000
sgemm	1	3145728	45a71dee	22.683849000
sgemm	6	3145728	45a71dee	61.244616000
sgemm	1	3145728	45a71dee	23.849869000
sgemm	2	3145728	45a71dee	72.649684000
sgemm	0	3145728	45a71dee	156.795497000
strsm	3	2097152	e6adb9cb	190.775652000
sgemm	1	3145728	45a71dee	48.836501000
sgemm	4	3145728	45a71dee	134.316427000
sgemm	5	3145728	45a71dee	239.796086000
sgemm	6	3145728	45a71dee	83.888216000
sgemm	4	3145728	45a71dee	34.885539000
