sgetrf_nopiv	2	2359296	c5fba424	93.527816000
strsm	5	4718592	5f1ae26e	59.693653000
sgemm	6	7077888	19cb29ef	40.591393000
strsm	1	4718592	5f1ae26e	123.143364000
sgemm	7	7077888	19cb29ef	63.409073000
sgemm	4	7077888	19cb29ef	228.722355000
sgemm	3	7077888	19cb29ef	103.720682000
sgemm	5	7077888	19cb29ef	63.440967000
sgemm	3	7077888	19cb29ef	67.512754000
sgemm	1	7077888	19cb29ef	67.503653000
strsm	0	4718592	5f1ae26e	264.349387000
sgemm	7	7077888	19cb29ef	67.543707000
sgemm	5	7077888	19cb29ef	67.520116000
sgemm	4	7077888	19cb29ef	91.614554000
sgemm	5	7077888	19cb29ef	50.396972000
sgemm	6	7077888	19cb29ef	180.729362000
sgemm	4	7077888	19cb29ef	62.442561000
sgemm	7	7077888	19cb29ef	86.519274000
sgemm	7	7077888	19cb29ef	74.754443000
sgemm	6	7077888	19cb29ef	110.863250000
sgemm	1	7077888	19cb29ef	161.312518000
sgemm	3	7077888	19cb29ef	161.303775000
sgemm	5	7077888	19cb29ef	110.881395000
sgemm	7	7077888	19cb29ef	95.923684000
sgemm	0	7077888	19cb29ef	257.257249000
sgemm	5	7077888	19cb29ef	95.949743000
sgemm	3	7077888	19cb29ef	95.963925000
sgemm	7	7077888	19cb29ef	48.926372000
sgemm	1	7077888	19cb29ef	144.882236000
sgemm	4	7077888	19cb29ef	219.704816000
sgemm	3	7077888	19cb29ef	53.031210000
sgemm	5	7077888	19cb29ef	82.862766000
sgemm	4	7077888	19cb29ef	59.320819000
sgemm	7	7077888	19cb29ef	59.322050000
sgemm	1	7077888	19cb29ef	59.322151000
sgemm	3	7077888	19cb29ef	55.238598000
sgemm	6	7077888	19cb29ef	232.126727000
strsm	3	4718592	5f1ae26e	39.447095000
sgemm	5	7077888	19cb29ef	64.877049000
sgemm	0	7077888	19cb29ef	147.763653000
sgemm	1	7077888	19cb29ef	68.337445000
sgemm	4	7077888	19cb29ef	68.337501000
strsm	7	4718592	5f1ae26e	63.594261000
strsm	5	4718592	5f1ae26e	50.781248000
sgemm	3	7077888	19cb29ef	50.740160000
sgemm	7	7077888	19cb29ef	24.115255000
strsm	1	4718592	5f1ae26e	24.160747000
strsm	0	4718592	5f1ae26e	53.045005000
sgemm	6	7077888	19cb29ef	64.660884000
strsm	4	4718592	5f1ae26e	62.552873000
sgemm	7	7077888	19cb29ef	38.383700000
sgemm	1	7077888	19cb29ef	38.947832000
sgemm	7	7077888	19cb29ef	31.112009000
sgemm	4	7077888	19cb29ef	31.075147000
sgemm	7	7077888	19cb29ef	74.894937000
