249, strsm, M512x512x4_M512x512x4, 2097152,	289, strsm, M512x512x4_M512x512x4, 2097152, 40
250, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	290, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
251, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	291, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
252, strsm, M512x512x4_M512x512x4, 2097152,	292, strsm, M512x512x4_M512x512x4, 2097152, 40
253, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	293, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
254, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	294, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
255, sgetrf_nopiv, M512x512x4, 1048576,	295, sgetrf_nopiv, M512x512x4, 1048576, 40
256, strsm, M512x512x4_M512x512x4, 2097152,	296, strsm, M512x512x4_M512x512x4, 2097152, 40
257, strsm, M512x512x4_M512x512x4, 2097152,	297, strsm, M512x512x4_M512x512x4, 2097152, 40
258, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,	298, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728, 40
259, sgetrf_nopiv, M512x512x4, 1048576,	299, sgetrf_nopiv, M512x512x4, 1048576, 40
