5270, sgetrf_nopiv, M960x960x4, 3686400,	5310, sgetrf_nopiv, M960x960x4, 3686400, 40
5271, strsm, M960x960x4_M960x960x4, 7372800,	5311, strsm, M960x960x4_M960x960x4, 7372800, 40
5272, strsm, M960x960x4_M960x960x4, 7372800,	5312, strsm, M960x960x4_M960x960x4, 7372800, 40
5273, strsm, M960x960x4_M960x960x4, 7372800,	5313, strsm, M960x960x4_M960x960x4, 7372800, 40
5274, strsm, M960x960x4_M960x960x4, 7372800,	5314, strsm, M960x960x4_M960x960x4, 7372800, 40
5275, strsm, M960x960x4_M960x960x4, 7372800,	5315, strsm, M960x960x4_M960x960x4, 7372800, 40
5276, strsm, M960x960x4_M960x960x4, 7372800,	5316, strsm, M960x960x4_M960x960x4, 7372800, 40
5277, strsm, M960x960x4_M960x960x4, 7372800,	5317, strsm, M960x960x4_M960x960x4, 7372800, 40
5278, strsm, M960x960x4_M960x960x4, 7372800,	5318, strsm, M960x960x4_M960x960x4, 7372800, 40
5279, strsm, M960x960x4_M960x960x4, 7372800,	5319, strsm, M960x960x4_M960x960x4, 7372800, 40
5280, strsm, M960x960x4_M960x960x4, 7372800,	5320, strsm, M960x960x4_M960x960x4, 7372800, 40
5281, strsm, M960x960x4_M960x960x4, 7372800,	5321, strsm, M960x960x4_M960x960x4, 7372800, 40
5282, strsm, M960x960x4_M960x960x4, 7372800,	5322, strsm, M960x960x4_M960x960x4, 7372800, 40
5283, strsm, M960x960x4_M960x960x4, 7372800,	5323, strsm, M960x960x4_M960x960x4, 7372800, 40
5284, strsm, M960x960x4_M960x960x4, 7372800,	5324, strsm, M960x960x4_M960x960x4, 7372800, 40
5285, strsm, M960x960x4_M960x960x4, 7372800,	5325, strsm, M960x960x4_M960x960x4, 7372800, 40
5286, strsm, M960x960x4_M960x960x4, 7372800,	5326, strsm, M960x960x4_M960x960x4, 7372800, 40
5287, strsm, M960x960x4_M960x960x4, 7372800,	5327, strsm, M960x960x4_M960x960x4, 7372800, 40
5288, strsm, M960x960x4_M960x960x4, 7372800,	5328, strsm, M960x960x4_M960x960x4, 7372800, 40
5289, strsm, M960x960x4_M960x960x4, 7372800,	5329, strsm, M960x960x4_M960x960x4, 7372800, 40
5290, strsm, M960x960x4_M960x960x4, 7372800,	5330, strsm, M960x960x4_M960x960x4, 7372800, 40
5291, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5331, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5292, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5332, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5293, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5333, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5294, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5334, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5295, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5335, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5296, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5336, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5297, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5337, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5298, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5338, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5299, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5339, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5300, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5340, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5301, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5341, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5302, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5342, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5303, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5343, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5304, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5344, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5305, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5345, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5306, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5346, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5307, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5347, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5308, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5348, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5309, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5349, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5310, strsm, M960x960x4_M960x960x4, 7372800,	5350, strsm, M960x960x4_M960x960x4, 7372800, 40
5311, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5351, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5312, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5352, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5313, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5353, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5314, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5354, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5315, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5355, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5316, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5356, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5317, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5357, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5318, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5358, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5319, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5359, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5320, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5360, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5321, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5361, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5322, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5362, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5323, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5363, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5324, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5364, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5325, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5365, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5326, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5366, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5327, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5367, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5328, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5368, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5329, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5369, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
5330, strsm, M960x960x4_M960x960x4, 7372800,	5370, strsm, M960x960x4_M960x960x4, 7372800, 40
5331, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	5371, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
