985, sgetrf_nopiv, M960x960x4, 3686400,	1025, sgetrf_nopiv, M960x960x4, 3686400, 40
986, strsm, M960x960x4_M960x960x4, 7372800,	1026, strsm, M960x960x4_M960x960x4, 7372800, 40
987, strsm, M960x960x4_M960x960x4, 7372800,	1027, strsm, M960x960x4_M960x960x4, 7372800, 40
988, strsm, M960x960x4_M960x960x4, 7372800,	1028, strsm, M960x960x4_M960x960x4, 7372800, 40
989, strsm, M960x960x4_M960x960x4, 7372800,	1029, strsm, M960x960x4_M960x960x4, 7372800, 40
990, strsm, M960x960x4_M960x960x4, 7372800,	1030, strsm, M960x960x4_M960x960x4, 7372800, 40
991, strsm, M960x960x4_M960x960x4, 7372800,	1031, strsm, M960x960x4_M960x960x4, 7372800, 40
992, strsm, M960x960x4_M960x960x4, 7372800,	1032, strsm, M960x960x4_M960x960x4, 7372800, 40
993, strsm, M960x960x4_M960x960x4, 7372800,	1033, strsm, M960x960x4_M960x960x4, 7372800, 40
994, strsm, M960x960x4_M960x960x4, 7372800,	1034, strsm, M960x960x4_M960x960x4, 7372800, 40
995, strsm, M960x960x4_M960x960x4, 7372800,	1035, strsm, M960x960x4_M960x960x4, 7372800, 40
996, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1036, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
997, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1037, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
998, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1038, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
999, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1039, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1000, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1040, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1001, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1041, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1002, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1042, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1003, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1043, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1004, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1044, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1005, strsm, M960x960x4_M960x960x4, 7372800,	1045, strsm, M960x960x4_M960x960x4, 7372800, 40
1006, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1046, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1007, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1047, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1008, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1048, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1009, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1049, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1010, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1050, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1011, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1051, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1012, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1052, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1013, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1053, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
1014, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	1054, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
