5690, spotrf, M128x128x4, 65536,
5691, strsm, M128x128x4_M128x128x4, 131072,
5692, strsm, M128x128x4_M128x128x4, 131072,
5693, strsm, M128x128x4_M128x128x4, 131072,
5694, strsm, M128x128x4_M128x128x4, 131072,
5695, strsm, M128x128x4_M128x128x4, 131072,
5696, strsm, M128x128x4_M128x128x4, 131072,
5697, strsm, M128x128x4_M128x128x4, 131072,
5698, strsm, M128x128x4_M128x128x4, 131072,
5699, strsm, M128x128x4_M128x128x4, 131072,
5700, strsm, M128x128x4_M128x128x4, 131072,
5701, strsm, M128x128x4_M128x128x4, 131072,
5702, strsm, M128x128x4_M128x128x4, 131072,
5703, strsm, M128x128x4_M128x128x4, 131072,
5704, strsm, M128x128x4_M128x128x4, 131072,
5705, strsm, M128x128x4_M128x128x4, 131072,
5706, strsm, M128x128x4_M128x128x4, 131072,
5707, strsm, M128x128x4_M128x128x4, 131072,
5708, strsm, M128x128x4_M128x128x4, 131072,
5709, strsm, M128x128x4_M128x128x4, 131072,
5712, ssyrk, M128x128x4_M128x128x4, 131072,
5713, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5714, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5715, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5716, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5717, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5718, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5719, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5720, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5721, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5722, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5723, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5724, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5725, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5726, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5727, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5728, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5729, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5730, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5733, ssyrk, M128x128x4_M128x128x4, 131072,
5734, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
5735, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
