5697, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5737, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5698, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5738, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5699, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5739, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5700, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5740, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5701, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5741, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5702, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5742, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5703, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5743, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5704, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5744, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5705, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5745, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5706, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5746, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5707, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5747, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5708, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5748, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5709, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5749, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5710, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5750, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5713, ssyrk, M768x768x4_M768x768x4, 4718592,	5753, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5714, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5754, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5715, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5755, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5716, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5756, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5717, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5757, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5718, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5758, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5719, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5759, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5720, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5760, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5721, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5761, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5722, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5762, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5723, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5763, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5724, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5764, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5725, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5765, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5726, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5766, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5727, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5767, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5728, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5768, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5729, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5769, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5732, ssyrk, M768x768x4_M768x768x4, 4718592,	5772, ssyrk, M768x768x4_M768x768x4, 4718592, 40
5733, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5773, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5734, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5774, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5735, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5775, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5736, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5776, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5737, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5777, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5738, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5778, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5739, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5779, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5740, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5780, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5741, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5781, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5742, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5782, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5743, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5783, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5744, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5784, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
5745, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,	5785, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888, 40
