3854, strsm, M128x128x4_M128x1x4, 66048,
3857, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3860, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3863, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3866, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3869, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3872, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3875, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3878, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3881, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3886, strsm, M128x128x4_M128x1x4, 66048,
3889, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3892, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3895, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3898, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3901, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3904, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3907, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3910, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3915, strsm, M128x128x4_M128x1x4, 66048,
3918, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3921, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3924, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3927, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3930, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3933, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3936, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3941, strsm, M128x128x4_M128x1x4, 66048,
3944, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3947, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3950, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3953, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3956, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3959, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3964, strsm, M128x128x4_M128x1x4, 66048,
3967, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3970, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3973, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3976, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3979, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3984, strsm, M128x128x4_M128x1x4, 66048,
3987, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3990, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3993, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
3996, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4001, strsm, M128x128x4_M128x1x4, 66048,
4004, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4007, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4010, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4015, strsm, M128x128x4_M128x1x4, 66048,
4018, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4021, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4026, strsm, M128x128x4_M128x1x4, 66048,
4029, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4034, strsm, M128x128x4_M128x1x4, 66048,
4039, strsm, M128x128x4_M128x1x4, 66048,
4042, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4046, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4050, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4054, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4058, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4062, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4066, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4070, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4074, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
4080, strsm, M128x128x4_M128x1x4, 66048,
4083, sgemm, M128x128x4_M128x1x4_M128x1x4, 66560,
