1109, strsm, M768x768x4_M768x1x4, 2362368,
1112, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1115, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1118, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1121, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1126, strsm, M768x768x4_M768x1x4, 2362368,
1129, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1132, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1135, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1140, strsm, M768x768x4_M768x1x4, 2362368,
1143, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1146, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1151, strsm, M768x768x4_M768x1x4, 2362368,
1154, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1159, strsm, M768x768x4_M768x1x4, 2362368,
1164, strsm, M768x768x4_M768x1x4, 2362368,
1167, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1171, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1175, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1179, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1185, strsm, M768x768x4_M768x1x4, 2362368,
1188, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1191, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1194, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1199, strsm, M768x768x4_M768x1x4, 2362368,
1202, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1205, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1210, strsm, M768x768x4_M768x1x4, 2362368,
1213, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
1218, strsm, M768x768x4_M768x1x4, 2362368,
