4173, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4178, strsm, M768x768x4_M768x1x4, 2362368,
4181, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4184, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4187, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4190, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4195, strsm, M768x768x4_M768x1x4, 2362368,
4198, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4201, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4204, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4209, strsm, M768x768x4_M768x1x4, 2362368,
4212, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4215, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4220, strsm, M768x768x4_M768x1x4, 2362368,
4223, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
4228, strsm, M768x768x4_M768x1x4, 2362368,
