1025, sgetrf_nopiv, M64x64x4, 16384,
1026, strsm, M64x64x4_M64x64x4, 32768,
1027, strsm, M64x64x4_M64x64x4, 32768,
1028, strsm, M64x64x4_M64x64x4, 32768,
1029, strsm, M64x64x4_M64x64x4, 32768,
1030, strsm, M64x64x4_M64x64x4, 32768,
1031, strsm, M64x64x4_M64x64x4, 32768,
1032, strsm, M64x64x4_M64x64x4, 32768,
1033, strsm, M64x64x4_M64x64x4, 32768,
1034, strsm, M64x64x4_M64x64x4, 32768,
1035, strsm, M64x64x4_M64x64x4, 32768,
1036, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1037, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1038, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1039, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1040, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1041, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1042, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1043, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1044, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1045, strsm, M64x64x4_M64x64x4, 32768,
1046, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1047, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1048, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1049, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1050, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1051, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1052, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1053, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1054, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1055, strsm, M64x64x4_M64x64x4, 32768,
1056, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1057, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1058, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1059, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1060, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1061, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1062, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1063, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1064, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1065, strsm, M64x64x4_M64x64x4, 32768,
1066, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1067, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1068, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1069, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1070, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1071, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1072, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1073, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
1074, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,
