57965, sgetrf_nopiv, M768x768x4, 2359296,
58068, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58069, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58070, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58071, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58072, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58073, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58074, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58075, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58076, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58077, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58078, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58079, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58080, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58081, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58082, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58083, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58084, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58085, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58086, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58087, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58088, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58089, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58090, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58091, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58092, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58093, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58094, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58095, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58096, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58097, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58098, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58099, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58100, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58101, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58102, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58103, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58104, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58105, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58106, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58107, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58108, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58109, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58110, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58111, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58112, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58113, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58114, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58115, strsm, M768x768x4_M768x768x4, 4718592,
58116, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58117, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58118, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58119, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58120, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58121, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58122, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58123, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58124, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58125, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58126, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58127, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58128, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58129, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58130, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58131, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58132, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58133, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58134, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58135, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58136, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58137, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58138, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58139, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58140, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58141, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58142, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58143, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58144, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58145, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58146, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58147, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58148, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58149, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58150, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
58151, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
