1025, sgetrf_nopiv, M640x640x4, 1638400,
1026, strsm, M640x640x4_M640x640x4, 3276800,
1027, strsm, M640x640x4_M640x640x4, 3276800,
1028, strsm, M640x640x4_M640x640x4, 3276800,
1029, strsm, M640x640x4_M640x640x4, 3276800,
1030, strsm, M640x640x4_M640x640x4, 3276800,
1031, strsm, M640x640x4_M640x640x4, 3276800,
1032, strsm, M640x640x4_M640x640x4, 3276800,
1033, strsm, M640x640x4_M640x640x4, 3276800,
1034, strsm, M640x640x4_M640x640x4, 3276800,
1035, strsm, M640x640x4_M640x640x4, 3276800,
1036, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1037, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1038, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1039, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1040, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1041, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1042, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1043, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1044, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1045, strsm, M640x640x4_M640x640x4, 3276800,
1046, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1047, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1048, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1049, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1050, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1051, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1052, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1053, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1054, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1055, strsm, M640x640x4_M640x640x4, 3276800,
1056, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1057, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1058, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1059, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1060, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1061, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1062, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1063, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1064, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1065, strsm, M640x640x4_M640x640x4, 3276800,
1066, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1067, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1068, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1069, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1070, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1071, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1072, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1073, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1074, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1075, strsm, M640x640x4_M640x640x4, 3276800,
1076, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1077, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1078, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1079, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1080, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1081, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1082, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1083, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1084, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1085, strsm, M640x640x4_M640x640x4, 3276800,
1086, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1087, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1088, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1089, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1090, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1091, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1092, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1093, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1094, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1095, strsm, M640x640x4_M640x640x4, 3276800,
1096, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1097, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1098, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1099, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1100, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1101, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1102, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1103, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1104, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1105, strsm, M640x640x4_M640x640x4, 3276800,
1106, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1107, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1108, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1109, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1110, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1111, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1112, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1113, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1114, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1115, strsm, M640x640x4_M640x640x4, 3276800,
1116, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1117, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1118, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1119, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1120, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1121, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1122, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1123, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1124, sgemm, M640x640x4_M640x640x4_M640x640x4, 4915200,
1125, sgetrf_nopiv, M640x640x4, 1638400,
1126, strsm, M640x640x4_M640x640x4, 3276800,
