5310, sgetrf_nopiv, M960x960x4, 3686400,
5311, strsm, M960x960x4_M960x960x4, 7372800,
5312, strsm, M960x960x4_M960x960x4, 7372800,
5313, strsm, M960x960x4_M960x960x4, 7372800,
5314, strsm, M960x960x4_M960x960x4, 7372800,
5315, strsm, M960x960x4_M960x960x4, 7372800,
5316, strsm, M960x960x4_M960x960x4, 7372800,
5317, strsm, M960x960x4_M960x960x4, 7372800,
5318, strsm, M960x960x4_M960x960x4, 7372800,
5319, strsm, M960x960x4_M960x960x4, 7372800,
5320, strsm, M960x960x4_M960x960x4, 7372800,
5321, strsm, M960x960x4_M960x960x4, 7372800,
5322, strsm, M960x960x4_M960x960x4, 7372800,
5323, strsm, M960x960x4_M960x960x4, 7372800,
5324, strsm, M960x960x4_M960x960x4, 7372800,
5325, strsm, M960x960x4_M960x960x4, 7372800,
5326, strsm, M960x960x4_M960x960x4, 7372800,
5327, strsm, M960x960x4_M960x960x4, 7372800,
5328, strsm, M960x960x4_M960x960x4, 7372800,
5329, strsm, M960x960x4_M960x960x4, 7372800,
5330, strsm, M960x960x4_M960x960x4, 7372800,
5331, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5332, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5333, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5334, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5335, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5336, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5337, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5338, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5339, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5340, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5341, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5342, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5343, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5344, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5345, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5346, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5347, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5348, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5349, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5350, strsm, M960x960x4_M960x960x4, 7372800,
5351, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5352, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5353, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5354, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5355, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5356, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5357, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5358, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5359, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
5360, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,
