9045, spotrf, M128x128x4, 65536,
9046, strsm, M128x128x4_M128x128x4, 131072,
9047, strsm, M128x128x4_M128x128x4, 131072,
9048, strsm, M128x128x4_M128x128x4, 131072,
9049, strsm, M128x128x4_M128x128x4, 131072,
9050, strsm, M128x128x4_M128x128x4, 131072,
9051, strsm, M128x128x4_M128x128x4, 131072,
9052, strsm, M128x128x4_M128x128x4, 131072,
9053, strsm, M128x128x4_M128x128x4, 131072,
9054, strsm, M128x128x4_M128x128x4, 131072,
9055, strsm, M128x128x4_M128x128x4, 131072,
9056, strsm, M128x128x4_M128x128x4, 131072,
9057, strsm, M128x128x4_M128x128x4, 131072,
9058, strsm, M128x128x4_M128x128x4, 131072,
9059, strsm, M128x128x4_M128x128x4, 131072,
9060, strsm, M128x128x4_M128x128x4, 131072,
9061, strsm, M128x128x4_M128x128x4, 131072,
9062, strsm, M128x128x4_M128x128x4, 131072,
9063, strsm, M128x128x4_M128x128x4, 131072,
9064, strsm, M128x128x4_M128x128x4, 131072,
9067, ssyrk, M128x128x4_M128x128x4, 131072,
9068, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9069, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9070, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9071, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9072, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9073, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9074, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9075, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9076, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9077, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9078, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9079, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9080, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9081, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9082, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9083, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9084, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9085, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9088, ssyrk, M128x128x4_M128x128x4, 131072,
9089, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9090, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9091, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9092, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9093, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
9094, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
