9045, spotrf, M768x768x4, 2359296,
9046, strsm, M768x768x4_M768x768x4, 4718592,
9047, strsm, M768x768x4_M768x768x4, 4718592,
9048, strsm, M768x768x4_M768x768x4, 4718592,
9049, strsm, M768x768x4_M768x768x4, 4718592,
9050, strsm, M768x768x4_M768x768x4, 4718592,
9051, strsm, M768x768x4_M768x768x4, 4718592,
9052, strsm, M768x768x4_M768x768x4, 4718592,
9053, strsm, M768x768x4_M768x768x4, 4718592,
9054, strsm, M768x768x4_M768x768x4, 4718592,
9055, strsm, M768x768x4_M768x768x4, 4718592,
9056, strsm, M768x768x4_M768x768x4, 4718592,
9057, strsm, M768x768x4_M768x768x4, 4718592,
9058, strsm, M768x768x4_M768x768x4, 4718592,
9059, strsm, M768x768x4_M768x768x4, 4718592,
9060, strsm, M768x768x4_M768x768x4, 4718592,
9061, strsm, M768x768x4_M768x768x4, 4718592,
9062, strsm, M768x768x4_M768x768x4, 4718592,
9063, strsm, M768x768x4_M768x768x4, 4718592,
9064, strsm, M768x768x4_M768x768x4, 4718592,
9067, ssyrk, M768x768x4_M768x768x4, 4718592,
9068, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9069, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9070, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9071, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9072, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9073, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9074, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9075, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9076, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9077, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9078, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9079, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9080, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9081, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9082, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9083, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
9084, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
