2887, slaset, M128x1x4, 512,
2888, slaset, M128x1x4, 512,
2889, slaset, M128x1x4, 512,
2890, slaset, M128x1x4, 512,
2891, slaset, M128x1x4, 512,
2892, slaset, M128x1x4, 512,
2893, slaset, M128x1x4, 512,
2894, slaset, M128x1x4, 512,
2895, slaset, M128x1x4, 512,
2896, slaset, M128x1x4, 512,
2897, slaset, M128x1x4, 512,
2898, slaset, M128x1x4, 512,
2899, slaset, M128x1x4, 512,
2900, slaset, M128x1x4, 512,
2901, slaset, M128x1x4, 512,
2902, slaset, M128x1x4, 512,
2903, slaset, M128x1x4, 512,
2904, slaset, M128x1x4, 512,
2905, slaset, M128x1x4, 512,
2906, slaset, M128x1x4, 512,
2907, sasum, M128x128x4_M128x1x4, 66048,
2908, sasum, M128x128x4_M128x1x4, 66048,
2909, sasum, M128x128x4_M128x1x4, 66048,
2910, sasum, M128x128x4_M128x1x4, 66048,
2911, sasum, M128x128x4_M128x1x4, 66048,
2912, sasum, M128x128x4_M128x1x4, 66048,
2913, sasum, M128x128x4_M128x1x4, 66048,
2914, sasum, M128x128x4_M128x1x4, 66048,
2915, sasum, M128x128x4_M128x1x4, 66048,
2916, sasum, M128x128x4_M128x1x4, 66048,
2917, sasum, M128x128x4_M128x1x4, 66048,
2918, sasum, M128x128x4_M128x1x4, 66048,
2919, sasum, M128x128x4_M128x1x4, 66048,
2920, sasum, M128x128x4_M128x1x4, 66048,
2921, sasum, M128x128x4_M128x1x4, 66048,
2922, sasum, M128x128x4_M128x1x4, 66048,
2923, sasum, M128x128x4_M128x1x4, 66048,
2924, sasum, M128x128x4_M128x1x4, 66048,
2925, sasum, M128x128x4_M128x1x4, 66048,
2926, sasum, M128x128x4_M128x1x4, 66048,
2927, slaset, M128x1x4, 512,
2928, sgeadd, M128x1x4_M128x1x4, 1024,
2929, sgeadd, M128x1x4_M128x1x4, 1024,
2930, sgeadd, M128x1x4_M128x1x4, 1024,
2931, sgeadd, M128x1x4_M128x1x4, 1024,
2932, sgeadd, M128x1x4_M128x1x4, 1024,
2933, sgeadd, M128x1x4_M128x1x4, 1024,
2934, sgeadd, M128x1x4_M128x1x4, 1024,
2935, sgeadd, M128x1x4_M128x1x4, 1024,
2936, sgeadd, M128x1x4_M128x1x4, 1024,
2937, sgeadd, M128x1x4_M128x1x4, 1024,
2938, sgeadd, M128x1x4_M128x1x4, 1024,
2939, sgeadd, M128x1x4_M128x1x4, 1024,
2940, sgeadd, M128x1x4_M128x1x4, 1024,
2941, sgeadd, M128x1x4_M128x1x4, 1024,
2942, sgeadd, M128x1x4_M128x1x4, 1024,
2943, sgeadd, M128x1x4_M128x1x4, 1024,
2944, sgeadd, M128x1x4_M128x1x4, 1024,
2945, sgeadd, M128x1x4_M128x1x4, 1024,
2946, sgeadd, M128x1x4_M128x1x4, 1024,
2947, sgeadd, M128x1x4_M128x1x4, 1024,
2948, slange, M128x1x4_V128x1_M128x1x4, 1152,
2949, slaset, M128x1x4, 512,
2950, slaset, M128x1x4, 512,
2951, slaset, M128x1x4, 512,
2952, slaset, M128x1x4, 512,
2953, slaset, M128x1x4, 512,
2954, slaset, M128x1x4, 512,
2955, slaset, M128x1x4, 512,
2956, slaset, M128x1x4, 512,
2957, slaset, M128x1x4, 512,
2958, slaset, M128x1x4, 512,
2959, slaset, M128x1x4, 512,
2960, slaset, M128x1x4, 512,
2961, slaset, M128x1x4, 512,
2962, slaset, M128x1x4, 512,
2963, slaset, M128x1x4, 512,
2964, slaset, M128x1x4, 512,
2965, slaset, M128x1x4, 512,
2966, slaset, M128x1x4, 512,
2967, slaset, M128x1x4, 512,
2968, slaset, M128x1x4, 512,
2969, sasum, M128x128x4_M128x1x4, 66048,
2970, sasum, M128x128x4_M128x1x4, 66048,
2971, sasum, M128x128x4_M128x1x4, 66048,
2972, sasum, M128x128x4_M128x1x4, 66048,
2973, sasum, M128x128x4_M128x1x4, 66048,
2974, sasum, M128x128x4_M128x1x4, 66048,
2975, sasum, M128x128x4_M128x1x4, 66048,
2976, sasum, M128x128x4_M128x1x4, 66048,
2977, sasum, M128x128x4_M128x1x4, 66048,
2978, sasum, M128x128x4_M128x1x4, 66048,
2979, sasum, M128x128x4_M128x1x4, 66048,
2980, sasum, M128x128x4_M128x1x4, 66048,
2981, sasum, M128x128x4_M128x1x4, 66048,
2982, sasum, M128x128x4_M128x1x4, 66048,
2983, sasum, M128x128x4_M128x1x4, 66048,
2984, sasum, M128x128x4_M128x1x4, 66048,
2985, sasum, M128x128x4_M128x1x4, 66048,
2986, sasum, M128x128x4_M128x1x4, 66048,
2987, sasum, M128x128x4_M128x1x4, 66048,
2988, sasum, M128x128x4_M128x1x4, 66048,
2989, slaset, M128x1x4, 512,
2990, sgeadd, M128x1x4_M128x1x4, 1024,
2991, sgeadd, M128x1x4_M128x1x4, 1024,
2992, sgeadd, M128x1x4_M128x1x4, 1024,
2993, sgeadd, M128x1x4_M128x1x4, 1024,
2994, sgeadd, M128x1x4_M128x1x4, 1024,
2995, sgeadd, M128x1x4_M128x1x4, 1024,
2996, sgeadd, M128x1x4_M128x1x4, 1024,
2997, sgeadd, M128x1x4_M128x1x4, 1024,
2998, sgeadd, M128x1x4_M128x1x4, 1024,
2999, sgeadd, M128x1x4_M128x1x4, 1024,
3000, sgeadd, M128x1x4_M128x1x4, 1024,
3001, sgeadd, M128x1x4_M128x1x4, 1024,
3002, sgeadd, M128x1x4_M128x1x4, 1024,
3003, sgeadd, M128x1x4_M128x1x4, 1024,
3004, sgeadd, M128x1x4_M128x1x4, 1024,
3005, sgeadd, M128x1x4_M128x1x4, 1024,
3006, sgeadd, M128x1x4_M128x1x4, 1024,
3007, sgeadd, M128x1x4_M128x1x4, 1024,
3008, sgeadd, M128x1x4_M128x1x4, 1024,
3009, sgeadd, M128x1x4_M128x1x4, 1024,
3010, slange, M128x1x4_V128x1_M128x1x4, 1152,
3011, slaset, M128x1x4, 512,
3012, slaset, M128x1x4, 512,
3013, slaset, M128x1x4, 512,
3014, slaset, M128x1x4, 512,
3015, slaset, M128x1x4, 512,
