18, slaset, M640x1x4, 2560,
19, sasum, M640x640x4_M640x1x4, 1640960,
20, slaset, M640x1x4, 2560,
21, sgeadd, M640x1x4_M640x1x4, 5120,
22, slange, M640x1x4_V640x1_M640x1x4, 5760,
23, slaset, M1x1x4, 4,
24, slange_max, M640x1x4_M1x1x4, 2564,
25, slange_max, M1x1x4_M1x1x4, 8,
26, slacpy, M1x1x4_M640x1x4, 2564,
