747, slaset, M960x1x4, 3840,
748, slaset, M960x1x4, 3840,
749, slaset, M960x1x4, 3840,
750, slaset, M960x1x4, 3840,
751, slaset, M960x1x4, 3840,
752, slaset, M960x1x4, 3840,
753, slaset, M960x1x4, 3840,
754, slaset, M960x1x4, 3840,
755, slaset, M960x1x4, 3840,
756, slaset, M960x1x4, 3840,
757, sasum, M960x960x4_M960x1x4, 3690240,
758, sasum, M960x960x4_M960x1x4, 3690240,
759, sasum, M960x960x4_M960x1x4, 3690240,
760, sasum, M960x960x4_M960x1x4, 3690240,
761, sasum, M960x960x4_M960x1x4, 3690240,
762, sasum, M960x960x4_M960x1x4, 3690240,
763, sasum, M960x960x4_M960x1x4, 3690240,
764, sasum, M960x960x4_M960x1x4, 3690240,
765, sasum, M960x960x4_M960x1x4, 3690240,
766, sasum, M960x960x4_M960x1x4, 3690240,
767, slaset, M960x1x4, 3840,
768, sgeadd, M960x1x4_M960x1x4, 7680,
769, sgeadd, M960x1x4_M960x1x4, 7680,
770, sgeadd, M960x1x4_M960x1x4, 7680,
771, sgeadd, M960x1x4_M960x1x4, 7680,
772, sgeadd, M960x1x4_M960x1x4, 7680,
773, sgeadd, M960x1x4_M960x1x4, 7680,
774, sgeadd, M960x1x4_M960x1x4, 7680,
775, sgeadd, M960x1x4_M960x1x4, 7680,
776, sgeadd, M960x1x4_M960x1x4, 7680,
777, sgeadd, M960x1x4_M960x1x4, 7680,
778, slange, M960x1x4_V960x1_M960x1x4, 8640,
779, slaset, M960x1x4, 3840,
780, slaset, M960x1x4, 3840,
781, slaset, M960x1x4, 3840,
782, slaset, M960x1x4, 3840,
783, slaset, M960x1x4, 3840,
784, slaset, M960x1x4, 3840,
785, slaset, M960x1x4, 3840,
786, slaset, M960x1x4, 3840,
787, slaset, M960x1x4, 3840,
788, slaset, M960x1x4, 3840,
789, sasum, M960x960x4_M960x1x4, 3690240,
790, sasum, M960x960x4_M960x1x4, 3690240,
791, sasum, M960x960x4_M960x1x4, 3690240,
792, sasum, M960x960x4_M960x1x4, 3690240,
793, sasum, M960x960x4_M960x1x4, 3690240,
794, sasum, M960x960x4_M960x1x4, 3690240,
795, sasum, M960x960x4_M960x1x4, 3690240,
796, sasum, M960x960x4_M960x1x4, 3690240,
797, sasum, M960x960x4_M960x1x4, 3690240,
798, sasum, M960x960x4_M960x1x4, 3690240,
799, slaset, M960x1x4, 3840,
800, sgeadd, M960x1x4_M960x1x4, 7680,
801, sgeadd, M960x1x4_M960x1x4, 7680,
802, sgeadd, M960x1x4_M960x1x4, 7680,
803, sgeadd, M960x1x4_M960x1x4, 7680,
804, sgeadd, M960x1x4_M960x1x4, 7680,
805, sgeadd, M960x1x4_M960x1x4, 7680,
806, sgeadd, M960x1x4_M960x1x4, 7680,
807, sgeadd, M960x1x4_M960x1x4, 7680,
808, sgeadd, M960x1x4_M960x1x4, 7680,
809, sgeadd, M960x1x4_M960x1x4, 7680,
810, slange, M960x1x4_V960x1_M960x1x4, 8640,
811, slaset, M960x1x4, 3840,
812, slaset, M960x1x4, 3840,
813, slaset, M960x1x4, 3840,
814, slaset, M960x1x4, 3840,
815, slaset, M960x1x4, 3840,
816, slaset, M960x1x4, 3840,
817, slaset, M960x1x4, 3840,
818, slaset, M960x1x4, 3840,
819, slaset, M960x1x4, 3840,
820, slaset, M960x1x4, 3840,
821, sasum, M960x960x4_M960x1x4, 3690240,
822, sasum, M960x960x4_M960x1x4, 3690240,
823, sasum, M960x960x4_M960x1x4, 3690240,
824, sasum, M960x960x4_M960x1x4, 3690240,
825, sasum, M960x960x4_M960x1x4, 3690240,
826, sasum, M960x960x4_M960x1x4, 3690240,
827, sasum, M960x960x4_M960x1x4, 3690240,
828, sasum, M960x960x4_M960x1x4, 3690240,
829, sasum, M960x960x4_M960x1x4, 3690240,
830, sasum, M960x960x4_M960x1x4, 3690240,
831, slaset, M960x1x4, 3840,
832, sgeadd, M960x1x4_M960x1x4, 7680,
833, sgeadd, M960x1x4_M960x1x4, 7680,
834, sgeadd, M960x1x4_M960x1x4, 7680,
835, sgeadd, M960x1x4_M960x1x4, 7680,
836, sgeadd, M960x1x4_M960x1x4, 7680,
837, sgeadd, M960x1x4_M960x1x4, 7680,
838, sgeadd, M960x1x4_M960x1x4, 7680,
839, sgeadd, M960x1x4_M960x1x4, 7680,
840, sgeadd, M960x1x4_M960x1x4, 7680,
841, sgeadd, M960x1x4_M960x1x4, 7680,
842, slange, M960x1x4_V960x1_M960x1x4, 8640,
843, slaset, M960x1x4, 3840,
844, slaset, M960x1x4, 3840,
845, slaset, M960x1x4, 3840,
846, slaset, M960x1x4, 3840,
847, slaset, M960x1x4, 3840,
848, slaset, M960x1x4, 3840,
849, slaset, M960x1x4, 3840,
850, slaset, M960x1x4, 3840,
851, slaset, M960x1x4, 3840,
852, slaset, M960x1x4, 3840,
853, sasum, M960x960x4_M960x1x4, 3690240,
854, sasum, M960x960x4_M960x1x4, 3690240,
855, sasum, M960x960x4_M960x1x4, 3690240,
856, sasum, M960x960x4_M960x1x4, 3690240,
857, sasum, M960x960x4_M960x1x4, 3690240,
858, sasum, M960x960x4_M960x1x4, 3690240,
859, sasum, M960x960x4_M960x1x4, 3690240,
