941964, strsm, M768x768x4_M768x1x4, 2362368,
941967, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941970, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941973, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941976, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941979, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941982, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941985, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941988, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941991, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941994, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
941997, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942000, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942003, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942006, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942009, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942012, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942015, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942018, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942021, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942024, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942027, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942030, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942033, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942036, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942039, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942042, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942045, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942048, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942051, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942054, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
942057, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
