153514, strsm, M768x768x4_M768x1x4, 2362368,
153517, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153520, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153523, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153526, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153529, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153532, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153535, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153538, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153541, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153544, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153547, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153550, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153553, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153556, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153559, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153562, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153565, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153568, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153571, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153574, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153577, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153580, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153583, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153586, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153589, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153592, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153595, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153598, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153601, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153604, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153607, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153610, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153613, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153616, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153619, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153622, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153625, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153628, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153631, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153634, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153637, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153640, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153643, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153646, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153649, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153652, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153655, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153658, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153661, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153666, strsm, M768x768x4_M768x1x4, 2362368,
153669, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153672, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153675, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153678, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153681, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153684, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153687, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153690, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153693, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153696, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153699, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153702, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153705, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153708, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153711, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153714, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153717, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153720, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153723, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153726, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153729, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153732, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153735, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153738, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153741, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153744, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153747, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153750, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153753, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153756, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153759, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153762, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153765, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153768, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153771, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153774, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153777, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153780, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153783, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153786, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153789, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153792, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153795, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153798, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153801, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
153804, sgemm, M768x768x4_M768x1x4_M768x1x4, 2365440,
