9005, spotrf, M512x512x4, 1048576,
9006, strsm, M512x512x4_M512x512x4, 2097152,
9007, strsm, M512x512x4_M512x512x4, 2097152,
9008, strsm, M512x512x4_M512x512x4, 2097152,
9009, strsm, M512x512x4_M512x512x4, 2097152,
9010, strsm, M512x512x4_M512x512x4, 2097152,
9011, strsm, M512x512x4_M512x512x4, 2097152,
9012, strsm, M512x512x4_M512x512x4, 2097152,
9013, strsm, M512x512x4_M512x512x4, 2097152,
9014, strsm, M512x512x4_M512x512x4, 2097152,
9015, strsm, M512x512x4_M512x512x4, 2097152,
9016, strsm, M512x512x4_M512x512x4, 2097152,
9017, strsm, M512x512x4_M512x512x4, 2097152,
9018, strsm, M512x512x4_M512x512x4, 2097152,
9019, strsm, M512x512x4_M512x512x4, 2097152,
9020, strsm, M512x512x4_M512x512x4, 2097152,
9021, strsm, M512x512x4_M512x512x4, 2097152,
9022, strsm, M512x512x4_M512x512x4, 2097152,
9023, strsm, M512x512x4_M512x512x4, 2097152,
9024, strsm, M512x512x4_M512x512x4, 2097152,
9027, ssyrk, M512x512x4_M512x512x4, 2097152,
9028, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9029, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9030, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9031, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9032, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9033, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9034, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9035, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9036, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9037, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9038, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9039, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9040, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9041, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9042, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9043, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9044, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9045, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9048, ssyrk, M512x512x4_M512x512x4, 2097152,
9049, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9050, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9051, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9052, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9053, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9054, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9055, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9056, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9057, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9058, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9059, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9060, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9061, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9062, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9063, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9064, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9065, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9068, ssyrk, M512x512x4_M512x512x4, 2097152,
9069, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9070, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9071, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9072, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9073, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9074, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9075, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9076, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9077, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9078, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9079, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9080, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9081, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9082, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9083, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9084, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9087, ssyrk, M512x512x4_M512x512x4, 2097152,
9088, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9089, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9090, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9091, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9092, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9093, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9094, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9095, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9096, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9097, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9098, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9099, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9100, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9101, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9102, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9105, ssyrk, M512x512x4_M512x512x4, 2097152,
9106, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9107, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9108, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9109, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9110, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9111, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9112, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9113, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9114, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9115, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9116, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9117, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9118, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9119, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9122, ssyrk, M512x512x4_M512x512x4, 2097152,
9123, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9124, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9125, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9126, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9127, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9128, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9129, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9130, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9131, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9132, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9133, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9134, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9135, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9138, ssyrk, M512x512x4_M512x512x4, 2097152,
9139, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9140, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9141, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9142, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9143, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9144, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9145, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9146, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9147, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9148, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9149, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9150, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9153, ssyrk, M512x512x4_M512x512x4, 2097152,
9154, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9155, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9156, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9157, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9158, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9159, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9160, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9161, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9162, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9163, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9164, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9167, ssyrk, M512x512x4_M512x512x4, 2097152,
9168, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9169, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9170, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9171, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9172, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9173, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9174, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9175, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9176, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9177, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9180, ssyrk, M512x512x4_M512x512x4, 2097152,
9181, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9182, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9183, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9184, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9185, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9186, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9187, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9188, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9189, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9192, ssyrk, M512x512x4_M512x512x4, 2097152,
9193, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9194, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9195, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9196, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9197, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9198, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9199, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9200, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9203, ssyrk, M512x512x4_M512x512x4, 2097152,
9204, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9205, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9206, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9207, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9208, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9209, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9210, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9213, ssyrk, M512x512x4_M512x512x4, 2097152,
9214, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9215, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9216, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9217, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9218, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9219, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9222, ssyrk, M512x512x4_M512x512x4, 2097152,
9223, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9224, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
9225, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
