1755, spotrf, M128x128x4, 65536,
1756, strsm, M128x128x4_M128x128x4, 131072,
1757, strsm, M128x128x4_M128x128x4, 131072,
1758, strsm, M128x128x4_M128x128x4, 131072,
1759, strsm, M128x128x4_M128x128x4, 131072,
1760, strsm, M128x128x4_M128x128x4, 131072,
1761, strsm, M128x128x4_M128x128x4, 131072,
1762, strsm, M128x128x4_M128x128x4, 131072,
1763, strsm, M128x128x4_M128x128x4, 131072,
1764, strsm, M128x128x4_M128x128x4, 131072,
1767, ssyrk, M128x128x4_M128x128x4, 131072,
1768, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1769, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1770, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1771, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1772, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1773, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1774, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1775, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1778, ssyrk, M128x128x4_M128x128x4, 131072,
1779, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1780, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1781, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1782, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1783, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1784, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1785, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1788, ssyrk, M128x128x4_M128x128x4, 131072,
1789, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1790, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1791, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1792, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1793, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1794, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1797, ssyrk, M128x128x4_M128x128x4, 131072,
1798, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1799, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1800, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1801, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1802, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1805, ssyrk, M128x128x4_M128x128x4, 131072,
1806, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1807, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1808, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1809, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1812, ssyrk, M128x128x4_M128x128x4, 131072,
1813, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1814, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1815, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1818, ssyrk, M128x128x4_M128x128x4, 131072,
1819, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1820, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1823, ssyrk, M128x128x4_M128x128x4, 131072,
1824, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1827, ssyrk, M128x128x4_M128x128x4, 131072,
1830, spotrf, M128x128x4, 65536,
1831, strsm, M128x128x4_M128x128x4, 131072,
1832, strsm, M128x128x4_M128x128x4, 131072,
1833, strsm, M128x128x4_M128x128x4, 131072,
1834, strsm, M128x128x4_M128x128x4, 131072,
1835, strsm, M128x128x4_M128x128x4, 131072,
1836, strsm, M128x128x4_M128x128x4, 131072,
1837, strsm, M128x128x4_M128x128x4, 131072,
1838, strsm, M128x128x4_M128x128x4, 131072,
1841, ssyrk, M128x128x4_M128x128x4, 131072,
1842, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1843, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1844, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1845, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1846, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1847, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1848, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1851, ssyrk, M128x128x4_M128x128x4, 131072,
1852, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1853, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1854, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1855, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1856, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1857, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1860, ssyrk, M128x128x4_M128x128x4, 131072,
1861, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1862, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1863, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1864, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1865, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1868, ssyrk, M128x128x4_M128x128x4, 131072,
1869, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1870, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1871, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1872, sgemm, M128x128x4_M128x128x4_M128x128x4, 196608,
1875, ssyrk, M128x128x4_M128x128x4, 131072,
