1887, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1890, ssyrk, M768x768x4_M768x768x4, 4718592,
1893, spotrf, M768x768x4, 2359296,
1894, strsm, M768x768x4_M768x768x4, 4718592,
1895, strsm, M768x768x4_M768x768x4, 4718592,
1896, strsm, M768x768x4_M768x768x4, 4718592,
1897, strsm, M768x768x4_M768x768x4, 4718592,
1898, strsm, M768x768x4_M768x768x4, 4718592,
1899, strsm, M768x768x4_M768x768x4, 4718592,
1900, strsm, M768x768x4_M768x768x4, 4718592,
1903, ssyrk, M768x768x4_M768x768x4, 4718592,
1904, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1905, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1906, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1907, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1908, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1909, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1912, ssyrk, M768x768x4_M768x768x4, 4718592,
1913, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1914, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1915, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1916, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1917, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1920, ssyrk, M768x768x4_M768x768x4, 4718592,
1921, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1922, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1923, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1924, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1927, ssyrk, M768x768x4_M768x768x4, 4718592,
1928, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1929, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1930, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1933, ssyrk, M768x768x4_M768x768x4, 4718592,
1934, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1935, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1938, ssyrk, M768x768x4_M768x768x4, 4718592,
1939, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1942, ssyrk, M768x768x4_M768x768x4, 4718592,
1945, spotrf, M768x768x4, 2359296,
1946, strsm, M768x768x4_M768x768x4, 4718592,
1947, strsm, M768x768x4_M768x768x4, 4718592,
1948, strsm, M768x768x4_M768x768x4, 4718592,
1949, strsm, M768x768x4_M768x768x4, 4718592,
1950, strsm, M768x768x4_M768x768x4, 4718592,
1951, strsm, M768x768x4_M768x768x4, 4718592,
1954, ssyrk, M768x768x4_M768x768x4, 4718592,
1955, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1956, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1957, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1958, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1959, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1962, ssyrk, M768x768x4_M768x768x4, 4718592,
1963, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1964, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1965, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1966, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1969, ssyrk, M768x768x4_M768x768x4, 4718592,
1970, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1971, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1972, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1975, ssyrk, M768x768x4_M768x768x4, 4718592,
1976, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1977, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1980, ssyrk, M768x768x4_M768x768x4, 4718592,
1981, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1984, ssyrk, M768x768x4_M768x768x4, 4718592,
1987, spotrf, M768x768x4, 2359296,
1988, strsm, M768x768x4_M768x768x4, 4718592,
1989, strsm, M768x768x4_M768x768x4, 4718592,
1990, strsm, M768x768x4_M768x768x4, 4718592,
1991, strsm, M768x768x4_M768x768x4, 4718592,
1992, strsm, M768x768x4_M768x768x4, 4718592,
1995, ssyrk, M768x768x4_M768x768x4, 4718592,
1996, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1997, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1998, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1999, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2002, ssyrk, M768x768x4_M768x768x4, 4718592,
2003, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2004, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2005, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2008, ssyrk, M768x768x4_M768x768x4, 4718592,
2009, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2010, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2013, ssyrk, M768x768x4_M768x768x4, 4718592,
2014, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2017, ssyrk, M768x768x4_M768x768x4, 4718592,
2020, spotrf, M768x768x4, 2359296,
2021, strsm, M768x768x4_M768x768x4, 4718592,
2022, strsm, M768x768x4_M768x768x4, 4718592,
2023, strsm, M768x768x4_M768x768x4, 4718592,
2024, strsm, M768x768x4_M768x768x4, 4718592,
2027, ssyrk, M768x768x4_M768x768x4, 4718592,
2028, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2029, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2030, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2033, ssyrk, M768x768x4_M768x768x4, 4718592,
2034, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2035, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2038, ssyrk, M768x768x4_M768x768x4, 4718592,
2039, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2042, ssyrk, M768x768x4_M768x768x4, 4718592,
2045, spotrf, M768x768x4, 2359296,
2046, strsm, M768x768x4_M768x768x4, 4718592,
2047, strsm, M768x768x4_M768x768x4, 4718592,
2048, strsm, M768x768x4_M768x768x4, 4718592,
2051, ssyrk, M768x768x4_M768x768x4, 4718592,
2052, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2053, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2056, ssyrk, M768x768x4_M768x768x4, 4718592,
2057, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2060, ssyrk, M768x768x4_M768x768x4, 4718592,
2063, spotrf, M768x768x4, 2359296,
2064, strsm, M768x768x4_M768x768x4, 4718592,
2065, strsm, M768x768x4_M768x768x4, 4718592,
2068, ssyrk, M768x768x4_M768x768x4, 4718592,
2069, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2072, ssyrk, M768x768x4_M768x768x4, 4718592,
2075, spotrf, M768x768x4, 2359296,
2076, strsm, M768x768x4_M768x768x4, 4718592,
2079, ssyrk, M768x768x4_M768x768x4, 4718592,
2082, spotrf, M768x768x4, 2359296,
2085, strsm, M768x768x4_M768x768x4, 4718592,
2087, strsm, M768x768x4_M768x768x4, 4718592,
2089, strsm, M768x768x4_M768x768x4, 4718592,
2091, strsm, M768x768x4_M768x768x4, 4718592,
2093, strsm, M768x768x4_M768x768x4, 4718592,
2095, strsm, M768x768x4_M768x768x4, 4718592,
2097, strsm, M768x768x4_M768x768x4, 4718592,
2099, strsm, M768x768x4_M768x768x4, 4718592,
2101, strsm, M768x768x4_M768x768x4, 4718592,
2123, strtri, M768x768x4, 2359296,
2125, strsm, M768x768x4_M768x768x4, 4718592,
2127, strsm, M768x768x4_M768x768x4, 4718592,
2129, strsm, M768x768x4_M768x768x4, 4718592,
2131, strsm, M768x768x4_M768x768x4, 4718592,
2133, strsm, M768x768x4_M768x768x4, 4718592,
2135, strsm, M768x768x4_M768x768x4, 4718592,
2137, strsm, M768x768x4_M768x768x4, 4718592,
2139, strsm, M768x768x4_M768x768x4, 4718592,
2141, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2144, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2147, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2150, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2153, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2156, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2159, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2162, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2167, strsm, M768x768x4_M768x768x4, 4718592,
2171, strtri, M768x768x4, 2359296,
2173, strsm, M768x768x4_M768x768x4, 4718592,
2175, strsm, M768x768x4_M768x768x4, 4718592,
2177, strsm, M768x768x4_M768x768x4, 4718592,
2179, strsm, M768x768x4_M768x768x4, 4718592,
2181, strsm, M768x768x4_M768x768x4, 4718592,
2183, strsm, M768x768x4_M768x768x4, 4718592,
2185, strsm, M768x768x4_M768x768x4, 4718592,
2187, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2188, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2192, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2193, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2197, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2198, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2202, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2203, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2207, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2208, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2212, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2213, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2217, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2218, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2224, strsm, M768x768x4_M768x768x4, 4718592,
2228, strsm, M768x768x4_M768x768x4, 4718592,
2232, strtri, M768x768x4, 2359296,
2234, strsm, M768x768x4_M768x768x4, 4718592,
2236, strsm, M768x768x4_M768x768x4, 4718592,
2238, strsm, M768x768x4_M768x768x4, 4718592,
2240, strsm, M768x768x4_M768x768x4, 4718592,
2242, strsm, M768x768x4_M768x768x4, 4718592,
2244, strsm, M768x768x4_M768x768x4, 4718592,
2246, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2247, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2248, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2252, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2253, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2254, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2258, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2259, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2260, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2264, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2265, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2266, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2270, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2271, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2272, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2276, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2277, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2278, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2284, strsm, M768x768x4_M768x768x4, 4718592,
2288, strsm, M768x768x4_M768x768x4, 4718592,
2292, strsm, M768x768x4_M768x768x4, 4718592,
2296, strtri, M768x768x4, 2359296,
2298, strsm, M768x768x4_M768x768x4, 4718592,
2300, strsm, M768x768x4_M768x768x4, 4718592,
2302, strsm, M768x768x4_M768x768x4, 4718592,
2304, strsm, M768x768x4_M768x768x4, 4718592,
2306, strsm, M768x768x4_M768x768x4, 4718592,
2308, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2309, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2310, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2311, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2315, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2316, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2317, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2318, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2322, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2323, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2324, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2325, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2329, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2330, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2331, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2332, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2336, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2337, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2338, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2339, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2345, strsm, M768x768x4_M768x768x4, 4718592,
2349, strsm, M768x768x4_M768x768x4, 4718592,
2353, strsm, M768x768x4_M768x768x4, 4718592,
2357, strsm, M768x768x4_M768x768x4, 4718592,
2361, strtri, M768x768x4, 2359296,
2363, strsm, M768x768x4_M768x768x4, 4718592,
2365, strsm, M768x768x4_M768x768x4, 4718592,
2367, strsm, M768x768x4_M768x768x4, 4718592,
2369, strsm, M768x768x4_M768x768x4, 4718592,
2371, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2372, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2373, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2374, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2375, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2379, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2380, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2381, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2382, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2383, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2387, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2388, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2389, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2390, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2391, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2395, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2396, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2397, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2398, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2399, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2405, strsm, M768x768x4_M768x768x4, 4718592,
2409, strsm, M768x768x4_M768x768x4, 4718592,
2413, strsm, M768x768x4_M768x768x4, 4718592,
2417, strsm, M768x768x4_M768x768x4, 4718592,
2421, strsm, M768x768x4_M768x768x4, 4718592,
2425, strtri, M768x768x4, 2359296,
2427, strsm, M768x768x4_M768x768x4, 4718592,
2429, strsm, M768x768x4_M768x768x4, 4718592,
2431, strsm, M768x768x4_M768x768x4, 4718592,
2433, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2434, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2435, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2436, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2437, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2438, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2442, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2443, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2444, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2445, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2446, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2447, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2451, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2452, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2453, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2454, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2455, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2456, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2462, strsm, M768x768x4_M768x768x4, 4718592,
2466, strsm, M768x768x4_M768x768x4, 4718592,
2470, strsm, M768x768x4_M768x768x4, 4718592,
2474, strsm, M768x768x4_M768x768x4, 4718592,
2478, strsm, M768x768x4_M768x768x4, 4718592,
2482, strsm, M768x768x4_M768x768x4, 4718592,
2486, strtri, M768x768x4, 2359296,
2488, strsm, M768x768x4_M768x768x4, 4718592,
2490, strsm, M768x768x4_M768x768x4, 4718592,
2492, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2493, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2494, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2495, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2496, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2497, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2498, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2502, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2503, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2504, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2505, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2506, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2507, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2508, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2514, strsm, M768x768x4_M768x768x4, 4718592,
2518, strsm, M768x768x4_M768x768x4, 4718592,
2522, strsm, M768x768x4_M768x768x4, 4718592,
2526, strsm, M768x768x4_M768x768x4, 4718592,
2530, strsm, M768x768x4_M768x768x4, 4718592,
2534, strsm, M768x768x4_M768x768x4, 4718592,
2538, strsm, M768x768x4_M768x768x4, 4718592,
2542, strtri, M768x768x4, 2359296,
2544, strsm, M768x768x4_M768x768x4, 4718592,
2546, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2547, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2548, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2549, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2550, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2551, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2552, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2553, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2559, strsm, M768x768x4_M768x768x4, 4718592,
2563, strsm, M768x768x4_M768x768x4, 4718592,
2567, strsm, M768x768x4_M768x768x4, 4718592,
2571, strsm, M768x768x4_M768x768x4, 4718592,
2575, strsm, M768x768x4_M768x768x4, 4718592,
2579, strsm, M768x768x4_M768x768x4, 4718592,
2583, strsm, M768x768x4_M768x768x4, 4718592,
2587, strsm, M768x768x4_M768x768x4, 4718592,
2591, strtri, M768x768x4, 2359296,
2595, strsm, M768x768x4_M768x768x4, 4718592,
2598, strsm, M768x768x4_M768x768x4, 4718592,
2601, strsm, M768x768x4_M768x768x4, 4718592,
2604, strsm, M768x768x4_M768x768x4, 4718592,
2607, strsm, M768x768x4_M768x768x4, 4718592,
2610, strsm, M768x768x4_M768x768x4, 4718592,
2613, strsm, M768x768x4_M768x768x4, 4718592,
2616, strsm, M768x768x4_M768x768x4, 4718592,
2619, strsm, M768x768x4_M768x768x4, 4718592,
2623, strtri, M768x768x4, 2359296,
2627, slauum, M768x768x4, 2359296,
2628, ssyrk, M768x768x4_M768x768x4, 4718592,
2631, strmm, M768x768x4_M768x768x4, 4718592,
2635, slauum, M768x768x4, 2359296,
2637, ssyrk, M768x768x4_M768x768x4, 4718592,
2638, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
2639, ssyrk, M768x768x4_M768x768x4, 4718592,
2642, strmm, M768x768x4_M768x768x4, 4718592,
