985, sgetrf_nopiv, M512x512x4, 1048576,
986, strsm, M512x512x4_M512x512x4, 2097152,
987, strsm, M512x512x4_M512x512x4, 2097152,
988, strsm, M512x512x4_M512x512x4, 2097152,
989, strsm, M512x512x4_M512x512x4, 2097152,
990, strsm, M512x512x4_M512x512x4, 2097152,
991, strsm, M512x512x4_M512x512x4, 2097152,
992, strsm, M512x512x4_M512x512x4, 2097152,
993, strsm, M512x512x4_M512x512x4, 2097152,
994, strsm, M512x512x4_M512x512x4, 2097152,
995, strsm, M512x512x4_M512x512x4, 2097152,
996, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
997, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
998, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
999, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1000, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1001, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1002, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1003, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1004, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1005, strsm, M512x512x4_M512x512x4, 2097152,
1006, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1007, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1008, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1009, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1010, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1011, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1012, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1013, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1014, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1015, strsm, M512x512x4_M512x512x4, 2097152,
1016, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1017, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1018, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1019, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1020, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1021, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1022, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1023, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1024, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1025, strsm, M512x512x4_M512x512x4, 2097152,
1026, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1027, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1028, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1029, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1030, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1031, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1032, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1033, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1034, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1035, strsm, M512x512x4_M512x512x4, 2097152,
1036, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1037, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1038, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1039, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1040, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1041, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1042, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1043, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
1044, sgemm, M512x512x4_M512x512x4_M512x512x4, 3145728,
