985, sgetrf_nopiv, M768x768x4, 2359296,
986, strsm, M768x768x4_M768x768x4, 4718592,
987, strsm, M768x768x4_M768x768x4, 4718592,
988, strsm, M768x768x4_M768x768x4, 4718592,
989, strsm, M768x768x4_M768x768x4, 4718592,
990, strsm, M768x768x4_M768x768x4, 4718592,
991, strsm, M768x768x4_M768x768x4, 4718592,
992, strsm, M768x768x4_M768x768x4, 4718592,
993, strsm, M768x768x4_M768x768x4, 4718592,
994, strsm, M768x768x4_M768x768x4, 4718592,
995, strsm, M768x768x4_M768x768x4, 4718592,
996, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
997, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
998, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
999, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1000, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1001, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1002, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1003, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1004, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1005, strsm, M768x768x4_M768x768x4, 4718592,
1006, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1007, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1008, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1009, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1010, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1011, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1012, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1013, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1014, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1015, strsm, M768x768x4_M768x768x4, 4718592,
1016, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1017, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1018, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1019, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1020, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1021, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1022, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1023, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1024, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1025, strsm, M768x768x4_M768x768x4, 4718592,
1026, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1027, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1028, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1029, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1030, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1031, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1032, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1033, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1034, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1035, strsm, M768x768x4_M768x768x4, 4718592,
1036, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1037, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1038, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1039, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1040, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1041, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1042, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1043, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1044, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1045, strsm, M768x768x4_M768x768x4, 4718592,
1046, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1047, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1048, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1049, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1050, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1051, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1052, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1053, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1054, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1055, strsm, M768x768x4_M768x768x4, 4718592,
1056, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1057, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1058, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1059, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1060, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1061, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1062, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1063, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1064, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1065, strsm, M768x768x4_M768x768x4, 4718592,
1066, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1067, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1068, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1069, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1070, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1071, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1072, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1073, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1074, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1075, strsm, M768x768x4_M768x768x4, 4718592,
1076, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1077, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1078, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1079, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1080, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1081, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1082, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1083, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1084, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1085, sgetrf_nopiv, M768x768x4, 2359296,
1086, strsm, M768x768x4_M768x768x4, 4718592,
1087, strsm, M768x768x4_M768x768x4, 4718592,
1088, strsm, M768x768x4_M768x768x4, 4718592,
1089, strsm, M768x768x4_M768x768x4, 4718592,
1090, strsm, M768x768x4_M768x768x4, 4718592,
1091, strsm, M768x768x4_M768x768x4, 4718592,
1092, strsm, M768x768x4_M768x768x4, 4718592,
1093, strsm, M768x768x4_M768x768x4, 4718592,
1094, strsm, M768x768x4_M768x768x4, 4718592,
1095, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1096, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1097, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1098, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1099, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1100, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1101, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1102, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1103, strsm, M768x768x4_M768x768x4, 4718592,
1104, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1105, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1106, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1107, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1108, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1109, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1110, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1111, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1112, strsm, M768x768x4_M768x768x4, 4718592,
1113, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1114, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1115, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1116, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1117, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1118, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1119, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1120, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1121, strsm, M768x768x4_M768x768x4, 4718592,
1122, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1123, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1124, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1125, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1126, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1127, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1128, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1129, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1130, strsm, M768x768x4_M768x768x4, 4718592,
1131, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1132, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1133, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1134, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1135, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1136, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1137, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1138, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1139, strsm, M768x768x4_M768x768x4, 4718592,
1140, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1141, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1142, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1143, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1144, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1145, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1146, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1147, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1148, strsm, M768x768x4_M768x768x4, 4718592,
1149, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1150, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1151, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1152, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1153, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1154, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1155, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1156, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1157, strsm, M768x768x4_M768x768x4, 4718592,
1158, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1159, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1160, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1161, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1162, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1163, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1164, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1165, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1166, sgetrf_nopiv, M768x768x4, 2359296,
1167, strsm, M768x768x4_M768x768x4, 4718592,
1168, strsm, M768x768x4_M768x768x4, 4718592,
1169, strsm, M768x768x4_M768x768x4, 4718592,
1170, strsm, M768x768x4_M768x768x4, 4718592,
1171, strsm, M768x768x4_M768x768x4, 4718592,
1172, strsm, M768x768x4_M768x768x4, 4718592,
1173, strsm, M768x768x4_M768x768x4, 4718592,
1174, strsm, M768x768x4_M768x768x4, 4718592,
1175, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1176, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1177, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1178, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1179, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1180, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1181, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1182, strsm, M768x768x4_M768x768x4, 4718592,
1183, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1184, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1185, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1186, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1187, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1188, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1189, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1190, strsm, M768x768x4_M768x768x4, 4718592,
1191, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1192, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1193, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1194, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1195, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1196, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1197, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1198, strsm, M768x768x4_M768x768x4, 4718592,
1199, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1200, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1201, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1202, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1203, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1204, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1205, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1206, strsm, M768x768x4_M768x768x4, 4718592,
1207, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1208, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1209, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1210, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1211, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1212, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1213, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1214, strsm, M768x768x4_M768x768x4, 4718592,
1215, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1216, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1217, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1218, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1219, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1220, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1221, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1222, strsm, M768x768x4_M768x768x4, 4718592,
1223, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1224, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1225, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1226, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1227, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1228, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1229, sgemm, M768x768x4_M768x768x4_M768x768x4, 7077888,
1230, sgetrf_nopiv, M768x768x4, 2359296,
1231, strsm, M768x768x4_M768x768x4, 4718592,
1232, strsm, M768x768x4_M768x768x4, 4718592,
