ssyrk	7	2097152	e6adb9cb	16.389917000
sgemm	0	3145728	45a71dee	63.780231000
sgemm	5	3145728	45a71dee	16.407106000
sgemm	4	3145728	45a71dee	76.665034000
sgemm	6	3145728	45a71dee	48.928983000
sgemm	7	3145728	45a71dee	32.466056000
sgemm	5	3145728	45a71dee	32.489464000
sgemm	3	3145728	45a71dee	48.936261000
sgemm	0	3145728	45a71dee	32.528997000
sgemm	4	3145728	45a71dee	43.281261000
sgemm	6	3145728	45a71dee	43.279183000
sgemm	7	3145728	45a71dee	43.255574000
sgemm	5	3145728	45a71dee	43.278200000
sgemm	3	3145728	45a71dee	43.283834000
sgemm	0	3145728	45a71dee	58.372684000
sgemm	7	3145728	45a71dee	15.282038000
sgemm	2	3145728	45a71dee	107.532746000
sgemm	6	3145728	45a71dee	15.326118000
sgemm	0	3145728	45a71dee	38.501535000
sgemm	3	3145728	45a71dee	53.613018000
sgemm	6	3145728	45a71dee	38.277365000
sgemm	5	3145728	45a71dee	53.609139000
sgemm	7	3145728	45a71dee	38.306263000
sgemm	4	3145728	45a71dee	53.622338000
sgemm	2	3145728	45a71dee	56.950108000
sgemm	3	3145728	45a71dee	18.613321000
strsm	5	2097152	e6adb9cb	18.632126000
sgemm	0	3145728	45a71dee	18.615183000
strsm	6	2097152	e6adb9cb	30.084662000
sgemm	0	3145728	45a71dee	11.662878000
sgemm	0	3145728	45a71dee	21.611667000
sgemm	3	3145728	45a71dee	33.260109000
sgemm	5	3145728	45a71dee	33.204622000
sgemm	4	3145728	45a71dee	81.521779000
sgemm	3	3145728	45a71dee	29.553510000
sgemm	2	3145728	45a71dee	62.860361000
sgemm	0	3145728	45a71dee	29.561970000
ssyrk	5	2097152	e6adb9cb	29.568122000
ssyrk	6	2097152	e6adb9cb	65.300060000
sgemm	7	3145728	45a71dee	95.772124000
sgemm	2	3145728	45a71dee	14.388710000
strsm	0	2097152	e6adb9cb	62.228708000
sgemm	6	3145728	45a71dee	48.249988000
