sgemm	6	11059200	24c84a50	90.550432000
sgemm	6	11059200	24c84a50	46.394252000
sgemm	0	11059200	24c84a50	100.520313000
sgemm	1	11059200	24c84a50	74.545677000
sgemm	2	11059200	24c84a50	224.504435000
ssyrk	1	7372800	ff82dda0	96.266400000
sgemm	0	11059200	24c84a50	124.452813000
sgemm	2	11059200	24c84a50	92.157502000
sgemm	4	11059200	24c84a50	387.358133000
strsm	1	7372800	ff82dda0	95.131616000
sgemm	6	11059200	24c84a50	219.618568000
sgemm	5	11059200	24c84a50	381.659899000
sgemm	2	11059200	24c84a50	118.213595000
sgemm	2	11059200	24c84a50	59.174426000
sgemm	3	11059200	24c84a50	463.393166000
sgemm	0	11059200	24c84a50	278.275151000
sgemm	5	11059200	24c84a50	214.021737000
sgemm	2	11059200	24c84a50	233.991945000
strsm	6	7372800	ff82dda0	362.755890000
strsm	0	7372800	ff82dda0	190.962012000
sgemm	5	11059200	24c84a50	135.031539000
sgemm	3	11059200	24c84a50	267.330647000
ssyrk	6	7372800	ff82dda0	11.254614000
sgemm	4	11059200	24c84a50	374.114418000
ssyrk	1	7372800	ff82dda0	374.005152000
sgemm	2	11059200	24c84a50	33.344948000
sgemm	1	11059200	24c84a50	143.658913000
sgemm	2	11059200	24c84a50	143.627324000
sgemm	4	11059200	24c84a50	143.542377000
ssyrk	0	7372800	ff82dda0	143.989969000
sgemm	6	11059200	24c84a50	218.214843000
sgemm	1	11059200	24c84a50	85.587103000
sgemm	5	11059200	24c84a50	226.448671000
strsm	3	7372800	ff82dda0	231.451210000
ssyrk	3	7372800	ff82dda0	93.499898000
sgemm	0	11059200	24c84a50	308.570397000
sgemm	4	11059200	24c84a50	311.607616000
sgemm	3	11059200	24c84a50	130.031563000
strsm	5	7372800	ff82dda0	225.968437000
sgemm	6	11059200	24c84a50	237.068587000
sgemm	2	11059200	24c84a50	311.627071000
sgemm	0	11059200	24c84a50	59.590161000
sgemm	1	11059200	24c84a50	282.987580000
ssyrk	5	7372800	ff82dda0	73.824855000
sgemm	0	11059200	24c84a50	35.426868000
sgemm	5	11059200	24c84a50	46.040872000
sgemm	0	11059200	24c84a50	125.294851000
sgemm	3	11059200	24c84a50	217.750440000
sgemm	5	11059200	24c84a50	129.612748000
sgemm	2	11059200	24c84a50	289.896934000
sgemm	3	11059200	24c84a50	91.168028000
sgemm	1	11059200	24c84a50	285.710192000
sgemm	0	11059200	24c84a50	124.928275000
sgemm	5	11059200	24c84a50	137.505449000
sgemm	6	11059200	24c84a50	387.850707000
sgemm	3	11059200	24c84a50	110.790881000
sgemm	5	11059200	24c84a50	159.496752000
sgemm	4	11059200	24c84a50	546.646347000
sgemm	6	11059200	24c84a50	158.776926000
sgemm	2	11059200	24c84a50	256.700965000
sgemm	1	11059200	24c84a50	203.920240000
sgemm	3	11059200	24c84a50	151.976548000
sgemm	4	11059200	24c84a50	91.562516000
sgemm	2	11059200	24c84a50	91.565729000
strsm	1	7372800	ff82dda0	91.541885000
sgemm	3	11059200	24c84a50	119.986970000
sgemm	5	11059200	24c84a50	145.102737000
sgemm	0	11059200	24c84a50	385.137567000
sgemm	4	11059200	24c84a50	304.995610000
sgemm	2	11059200	24c84a50	304.987262000
sgemm	5	11059200	24c84a50	251.448962000
sgemm	6	11059200	24c84a50	396.597702000
sgemm	0	11059200	24c84a50	241.554146000
sgemm	4	11059200	24c84a50	90.103449000
sgemm	5	11059200	24c84a50	90.051316000
sgemm	3	11059200	24c84a50	367.504578000
sgemm	5	11059200	24c84a50	49.495324000
sgemm	6	11059200	24c84a50	234.136644000
sgemm	0	11059200	24c84a50	208.172227000
sgemm	5	11059200	24c84a50	96.983088000
sgemm	4	11059200	24c84a50	181.971594000
sgemm	2	11059200	24c84a50	552.957795000
sgemm	3	11059200	24c84a50	436.903830000
sgemm	4	11059200	24c84a50	280.837835000
sgemm	5	11059200	24c84a50	316.272967000
sgemm	1	11059200	24c84a50	857.913903000
