sgemm	4	4915200	f0ac7beb	130.772691000
sgemm	7	4915200	f0ac7beb	54.654840000
sgemm	0	4915200	f0ac7beb	37.090795000
strsm	1	3276800	d39bff17	155.544840000
sgemm	4	4915200	f0ac7beb	69.297063000
sgemm	7	4915200	f0ac7beb	69.295426000
sgemm	2	4915200	f0ac7beb	155.615548000
sgemm	3	4915200	f0ac7beb	106.352077000
sgemm	1	4915200	f0ac7beb	27.361794000
sgemm	3	4915200	f0ac7beb	27.262216000
sgemm	0	4915200	f0ac7beb	96.619306000
sgemm	2	4915200	f0ac7beb	27.259544000
sgemm	5	4915200	f0ac7beb	96.680008000
sgemm	5	4915200	f0ac7beb	22.739305000
sgemm	4	4915200	f0ac7beb	50.110070000
sgemm	1	4915200	f0ac7beb	85.491860000
sgemm	2	4915200	f0ac7beb	85.470833000
sgemm	7	4915200	f0ac7beb	112.824832000
sgemm	2	4915200	f0ac7beb	26.651963000
strsm	3	3276800	d39bff17	112.159578000
sgemm	4	4915200	f0ac7beb	89.379515000
ssyrk	3	3276800	d39bff17	70.518790000
ssyrk	0	3276800	d39bff17	182.895173000
strsm	7	3276800	d39bff17	97.484622000
sgemm	5	4915200	f0ac7beb	160.194763000
sgemm	2	4915200	f0ac7beb	70.809964000
sgemm	1	4915200	f0ac7beb	97.519845000
sgemm	4	4915200	f0ac7beb	88.816112000
sgemm	5	4915200	f0ac7beb	78.396556000
sgemm	2	4915200	f0ac7beb	79.461703000
ssyrk	7	3276800	d39bff17	79.420521000
sgemm	3	4915200	f0ac7beb	79.724129000
sgemm	1	4915200	f0ac7beb	125.975581000
sgemm	7	4915200	f0ac7beb	46.469631000
strsm	5	3276800	d39bff17	47.583948000
sgemm	3	4915200	f0ac7beb	46.485598000
sgemm	3	4915200	f0ac7beb	50.472818000
sgemm	2	4915200	f0ac7beb	97.036232000
sgemm	4	4915200	f0ac7beb	158.488591000
ssyrk	5	3276800	d39bff17	50.400616000
sgemm	7	4915200	f0ac7beb	50.504635000
sgemm	0	4915200	f0ac7beb	199.061200000
sgemm	5	4915200	f0ac7beb	22.402808000
sgemm	2	4915200	f0ac7beb	83.767705000
