2927, slaset, M128x1x4, 512,
2928, slaset, M128x1x4, 512,
2929, slaset, M128x1x4, 512,
2930, slaset, M128x1x4, 512,
2931, slaset, M128x1x4, 512,
2932, slaset, M128x1x4, 512,
2933, slaset, M128x1x4, 512,
2934, slaset, M128x1x4, 512,
2935, slaset, M128x1x4, 512,
2936, slaset, M128x1x4, 512,
2937, slaset, M128x1x4, 512,
2938, slaset, M128x1x4, 512,
2939, slaset, M128x1x4, 512,
2940, slaset, M128x1x4, 512,
2941, slaset, M128x1x4, 512,
2942, slaset, M128x1x4, 512,
2943, slaset, M128x1x4, 512,
2944, slaset, M128x1x4, 512,
2945, slaset, M128x1x4, 512,
2946, slaset, M128x1x4, 512,
2947, sasum, M128x128x4_M128x1x4, 66048,
2948, sasum, M128x128x4_M128x1x4, 66048,
2949, sasum, M128x128x4_M128x1x4, 66048,
2950, sasum, M128x128x4_M128x1x4, 66048,
2951, sasum, M128x128x4_M128x1x4, 66048,
2952, sasum, M128x128x4_M128x1x4, 66048,
2953, sasum, M128x128x4_M128x1x4, 66048,
2954, sasum, M128x128x4_M128x1x4, 66048,
2955, sasum, M128x128x4_M128x1x4, 66048,
2956, sasum, M128x128x4_M128x1x4, 66048,
2957, sasum, M128x128x4_M128x1x4, 66048,
2958, sasum, M128x128x4_M128x1x4, 66048,
2959, sasum, M128x128x4_M128x1x4, 66048,
2960, sasum, M128x128x4_M128x1x4, 66048,
2961, sasum, M128x128x4_M128x1x4, 66048,
2962, sasum, M128x128x4_M128x1x4, 66048,
2963, sasum, M128x128x4_M128x1x4, 66048,
2964, sasum, M128x128x4_M128x1x4, 66048,
2965, sasum, M128x128x4_M128x1x4, 66048,
2966, sasum, M128x128x4_M128x1x4, 66048,
2967, slaset, M128x1x4, 512,
2968, sgeadd, M128x1x4_M128x1x4, 1024,
2969, sgeadd, M128x1x4_M128x1x4, 1024,
2970, sgeadd, M128x1x4_M128x1x4, 1024,
2971, sgeadd, M128x1x4_M128x1x4, 1024,
2972, sgeadd, M128x1x4_M128x1x4, 1024,
2973, sgeadd, M128x1x4_M128x1x4, 1024,
2974, sgeadd, M128x1x4_M128x1x4, 1024,
2975, sgeadd, M128x1x4_M128x1x4, 1024,
2976, sgeadd, M128x1x4_M128x1x4, 1024,
2977, sgeadd, M128x1x4_M128x1x4, 1024,
2978, sgeadd, M128x1x4_M128x1x4, 1024,
2979, sgeadd, M128x1x4_M128x1x4, 1024,
2980, sgeadd, M128x1x4_M128x1x4, 1024,
2981, sgeadd, M128x1x4_M128x1x4, 1024,
2982, sgeadd, M128x1x4_M128x1x4, 1024,
2983, sgeadd, M128x1x4_M128x1x4, 1024,
2984, sgeadd, M128x1x4_M128x1x4, 1024,
2985, sgeadd, M128x1x4_M128x1x4, 1024,
2986, sgeadd, M128x1x4_M128x1x4, 1024,
2987, sgeadd, M128x1x4_M128x1x4, 1024,
2988, slange, M128x1x4_V128x1_M128x1x4, 1152,
2989, slaset, M128x1x4, 512,
2990, slaset, M128x1x4, 512,
2991, slaset, M128x1x4, 512,
2992, slaset, M128x1x4, 512,
2993, slaset, M128x1x4, 512,
2994, slaset, M128x1x4, 512,
2995, slaset, M128x1x4, 512,
2996, slaset, M128x1x4, 512,
2997, slaset, M128x1x4, 512,
2998, slaset, M128x1x4, 512,
2999, slaset, M128x1x4, 512,
3000, slaset, M128x1x4, 512,
3001, slaset, M128x1x4, 512,
3002, slaset, M128x1x4, 512,
3003, slaset, M128x1x4, 512,
3004, slaset, M128x1x4, 512,
3005, slaset, M128x1x4, 512,
3006, slaset, M128x1x4, 512,
3007, slaset, M128x1x4, 512,
3008, slaset, M128x1x4, 512,
3009, sasum, M128x128x4_M128x1x4, 66048,
3010, sasum, M128x128x4_M128x1x4, 66048,
3011, sasum, M128x128x4_M128x1x4, 66048,
3012, sasum, M128x128x4_M128x1x4, 66048,
3013, sasum, M128x128x4_M128x1x4, 66048,
3014, sasum, M128x128x4_M128x1x4, 66048,
3015, sasum, M128x128x4_M128x1x4, 66048,
3016, sasum, M128x128x4_M128x1x4, 66048,
3017, sasum, M128x128x4_M128x1x4, 66048,
3018, sasum, M128x128x4_M128x1x4, 66048,
3019, sasum, M128x128x4_M128x1x4, 66048,
3020, sasum, M128x128x4_M128x1x4, 66048,
3021, sasum, M128x128x4_M128x1x4, 66048,
3022, sasum, M128x128x4_M128x1x4, 66048,
3023, sasum, M128x128x4_M128x1x4, 66048,
3024, sasum, M128x128x4_M128x1x4, 66048,
3025, sasum, M128x128x4_M128x1x4, 66048,
3026, sasum, M128x128x4_M128x1x4, 66048,
3027, sasum, M128x128x4_M128x1x4, 66048,
3028, sasum, M128x128x4_M128x1x4, 66048,
3029, slaset, M128x1x4, 512,
3030, sgeadd, M128x1x4_M128x1x4, 1024,
3031, sgeadd, M128x1x4_M128x1x4, 1024,
3032, sgeadd, M128x1x4_M128x1x4, 1024,
3033, sgeadd, M128x1x4_M128x1x4, 1024,
3034, sgeadd, M128x1x4_M128x1x4, 1024,
3035, sgeadd, M128x1x4_M128x1x4, 1024,
3036, sgeadd, M128x1x4_M128x1x4, 1024,
3037, sgeadd, M128x1x4_M128x1x4, 1024,
3038, sgeadd, M128x1x4_M128x1x4, 1024,
3039, sgeadd, M128x1x4_M128x1x4, 1024,
3040, sgeadd, M128x1x4_M128x1x4, 1024,
3041, sgeadd, M128x1x4_M128x1x4, 1024,
3042, sgeadd, M128x1x4_M128x1x4, 1024,
3043, sgeadd, M128x1x4_M128x1x4, 1024,
3044, sgeadd, M128x1x4_M128x1x4, 1024,
3045, sgeadd, M128x1x4_M128x1x4, 1024,
3046, sgeadd, M128x1x4_M128x1x4, 1024,
3047, sgeadd, M128x1x4_M128x1x4, 1024,
3048, sgeadd, M128x1x4_M128x1x4, 1024,
3049, sgeadd, M128x1x4_M128x1x4, 1024,
3050, slange, M128x1x4_V128x1_M128x1x4, 1152,
3051, slaset, M128x1x4, 512,
3052, slaset, M128x1x4, 512,
3053, slaset, M128x1x4, 512,
3054, slaset, M128x1x4, 512,
3055, slaset, M128x1x4, 512,
3056, slaset, M128x1x4, 512,
3057, slaset, M128x1x4, 512,
3058, slaset, M128x1x4, 512,
3059, slaset, M128x1x4, 512,
3060, slaset, M128x1x4, 512,
3061, slaset, M128x1x4, 512,
3062, slaset, M128x1x4, 512,
3063, slaset, M128x1x4, 512,
3064, slaset, M128x1x4, 512,
3065, slaset, M128x1x4, 512,
3066, slaset, M128x1x4, 512,
3067, slaset, M128x1x4, 512,
3068, slaset, M128x1x4, 512,
3069, slaset, M128x1x4, 512,
3070, slaset, M128x1x4, 512,
3071, sasum, M128x128x4_M128x1x4, 66048,
3072, sasum, M128x128x4_M128x1x4, 66048,
3073, sasum, M128x128x4_M128x1x4, 66048,
3074, sasum, M128x128x4_M128x1x4, 66048,
3075, sasum, M128x128x4_M128x1x4, 66048,
3076, sasum, M128x128x4_M128x1x4, 66048,
3077, sasum, M128x128x4_M128x1x4, 66048,
3078, sasum, M128x128x4_M128x1x4, 66048,
3079, sasum, M128x128x4_M128x1x4, 66048,
3080, sasum, M128x128x4_M128x1x4, 66048,
3081, sasum, M128x128x4_M128x1x4, 66048,
3082, sasum, M128x128x4_M128x1x4, 66048,
3083, sasum, M128x128x4_M128x1x4, 66048,
3084, sasum, M128x128x4_M128x1x4, 66048,
3085, sasum, M128x128x4_M128x1x4, 66048,
3086, sasum, M128x128x4_M128x1x4, 66048,
3087, sasum, M128x128x4_M128x1x4, 66048,
3088, sasum, M128x128x4_M128x1x4, 66048,
3089, sasum, M128x128x4_M128x1x4, 66048,
3090, sasum, M128x128x4_M128x1x4, 66048,
3091, slaset, M128x1x4, 512,
3092, sgeadd, M128x1x4_M128x1x4, 1024,
3093, sgeadd, M128x1x4_M128x1x4, 1024,
3094, sgeadd, M128x1x4_M128x1x4, 1024,
3095, sgeadd, M128x1x4_M128x1x4, 1024,
3096, sgeadd, M128x1x4_M128x1x4, 1024,
3097, sgeadd, M128x1x4_M128x1x4, 1024,
3098, sgeadd, M128x1x4_M128x1x4, 1024,
3099, sgeadd, M128x1x4_M128x1x4, 1024,
3100, sgeadd, M128x1x4_M128x1x4, 1024,
3101, sgeadd, M128x1x4_M128x1x4, 1024,
3102, sgeadd, M128x1x4_M128x1x4, 1024,
3103, sgeadd, M128x1x4_M128x1x4, 1024,
3104, sgeadd, M128x1x4_M128x1x4, 1024,
3105, sgeadd, M128x1x4_M128x1x4, 1024,
3106, sgeadd, M128x1x4_M128x1x4, 1024,
3107, sgeadd, M128x1x4_M128x1x4, 1024,
3108, sgeadd, M128x1x4_M128x1x4, 1024,
3109, sgeadd, M128x1x4_M128x1x4, 1024,
3110, sgeadd, M128x1x4_M128x1x4, 1024,
3111, sgeadd, M128x1x4_M128x1x4, 1024,
3112, slange, M128x1x4_V128x1_M128x1x4, 1152,
3113, slaset, M128x1x4, 512,
3114, slaset, M128x1x4, 512,
3115, slaset, M128x1x4, 512,
3116, slaset, M128x1x4, 512,
3117, slaset, M128x1x4, 512,
3118, slaset, M128x1x4, 512,
3119, slaset, M128x1x4, 512,
3120, slaset, M128x1x4, 512,
3121, slaset, M128x1x4, 512,
3122, slaset, M128x1x4, 512,
3123, slaset, M128x1x4, 512,
3124, slaset, M128x1x4, 512,
3125, slaset, M128x1x4, 512,
3126, slaset, M128x1x4, 512,
3127, slaset, M128x1x4, 512,
3128, slaset, M128x1x4, 512,
3129, slaset, M128x1x4, 512,
3130, slaset, M128x1x4, 512,
3131, slaset, M128x1x4, 512,
3132, slaset, M128x1x4, 512,
3133, sasum, M128x128x4_M128x1x4, 66048,
3134, sasum, M128x128x4_M128x1x4, 66048,
3135, sasum, M128x128x4_M128x1x4, 66048,
3136, sasum, M128x128x4_M128x1x4, 66048,
3137, sasum, M128x128x4_M128x1x4, 66048,
3138, sasum, M128x128x4_M128x1x4, 66048,
3139, sasum, M128x128x4_M128x1x4, 66048,
3140, sasum, M128x128x4_M128x1x4, 66048,
3141, sasum, M128x128x4_M128x1x4, 66048,
3142, sasum, M128x128x4_M128x1x4, 66048,
3143, sasum, M128x128x4_M128x1x4, 66048,
3144, sasum, M128x128x4_M128x1x4, 66048,
3145, sasum, M128x128x4_M128x1x4, 66048,
3146, sasum, M128x128x4_M128x1x4, 66048,
3147, sasum, M128x128x4_M128x1x4, 66048,
3148, sasum, M128x128x4_M128x1x4, 66048,
3149, sasum, M128x128x4_M128x1x4, 66048,
3150, sasum, M128x128x4_M128x1x4, 66048,
3151, sasum, M128x128x4_M128x1x4, 66048,
3152, sasum, M128x128x4_M128x1x4, 66048,
3153, slaset, M128x1x4, 512,
3154, sgeadd, M128x1x4_M128x1x4, 1024,
3155, sgeadd, M128x1x4_M128x1x4, 1024,
3156, sgeadd, M128x1x4_M128x1x4, 1024,
3157, sgeadd, M128x1x4_M128x1x4, 1024,
3158, sgeadd, M128x1x4_M128x1x4, 1024,
3159, sgeadd, M128x1x4_M128x1x4, 1024,
3160, sgeadd, M128x1x4_M128x1x4, 1024,
3161, sgeadd, M128x1x4_M128x1x4, 1024,
3162, sgeadd, M128x1x4_M128x1x4, 1024,
3163, sgeadd, M128x1x4_M128x1x4, 1024,
3164, sgeadd, M128x1x4_M128x1x4, 1024,
3165, sgeadd, M128x1x4_M128x1x4, 1024,
3166, sgeadd, M128x1x4_M128x1x4, 1024,
3167, sgeadd, M128x1x4_M128x1x4, 1024,
3168, sgeadd, M128x1x4_M128x1x4, 1024,
3169, sgeadd, M128x1x4_M128x1x4, 1024,
3170, sgeadd, M128x1x4_M128x1x4, 1024,
3171, sgeadd, M128x1x4_M128x1x4, 1024,
3172, sgeadd, M128x1x4_M128x1x4, 1024,
3173, sgeadd, M128x1x4_M128x1x4, 1024,
3174, slange, M128x1x4_V128x1_M128x1x4, 1152,
3175, slaset, M128x1x4, 512,
3176, slaset, M128x1x4, 512,
3177, slaset, M128x1x4, 512,
3178, slaset, M128x1x4, 512,
3179, slaset, M128x1x4, 512,
3180, slaset, M128x1x4, 512,
3181, slaset, M128x1x4, 512,
3182, slaset, M128x1x4, 512,
3183, slaset, M128x1x4, 512,
3184, slaset, M128x1x4, 512,
3185, slaset, M128x1x4, 512,
3186, slaset, M128x1x4, 512,
3187, slaset, M128x1x4, 512,
3188, slaset, M128x1x4, 512,
3189, slaset, M128x1x4, 512,
3190, slaset, M128x1x4, 512,
3191, slaset, M128x1x4, 512,
3192, slaset, M128x1x4, 512,
3193, slaset, M128x1x4, 512,
3194, slaset, M128x1x4, 512,
3195, sasum, M128x128x4_M128x1x4, 66048,
3196, sasum, M128x128x4_M128x1x4, 66048,
3197, sasum, M128x128x4_M128x1x4, 66048,
3198, sasum, M128x128x4_M128x1x4, 66048,
3199, sasum, M128x128x4_M128x1x4, 66048,
3200, sasum, M128x128x4_M128x1x4, 66048,
3201, sasum, M128x128x4_M128x1x4, 66048,
3202, sasum, M128x128x4_M128x1x4, 66048,
3203, sasum, M128x128x4_M128x1x4, 66048,
