2927, slaset, M640x1x4, 2560,
2928, slaset, M640x1x4, 2560,
2929, slaset, M640x1x4, 2560,
2930, slaset, M640x1x4, 2560,
2931, slaset, M640x1x4, 2560,
2932, slaset, M640x1x4, 2560,
2933, slaset, M640x1x4, 2560,
2934, slaset, M640x1x4, 2560,
2935, slaset, M640x1x4, 2560,
2936, slaset, M640x1x4, 2560,
2937, slaset, M640x1x4, 2560,
2938, slaset, M640x1x4, 2560,
2939, slaset, M640x1x4, 2560,
2940, slaset, M640x1x4, 2560,
2941, slaset, M640x1x4, 2560,
2942, slaset, M640x1x4, 2560,
2943, slaset, M640x1x4, 2560,
2944, slaset, M640x1x4, 2560,
2945, slaset, M640x1x4, 2560,
2946, slaset, M640x1x4, 2560,
2947, sasum, M640x640x4_M640x1x4, 1640960,
2948, sasum, M640x640x4_M640x1x4, 1640960,
2949, sasum, M640x640x4_M640x1x4, 1640960,
2950, sasum, M640x640x4_M640x1x4, 1640960,
2951, sasum, M640x640x4_M640x1x4, 1640960,
2952, sasum, M640x640x4_M640x1x4, 1640960,
2953, sasum, M640x640x4_M640x1x4, 1640960,
2954, sasum, M640x640x4_M640x1x4, 1640960,
2955, sasum, M640x640x4_M640x1x4, 1640960,
2956, sasum, M640x640x4_M640x1x4, 1640960,
2957, sasum, M640x640x4_M640x1x4, 1640960,
2958, sasum, M640x640x4_M640x1x4, 1640960,
2959, sasum, M640x640x4_M640x1x4, 1640960,
2960, sasum, M640x640x4_M640x1x4, 1640960,
2961, sasum, M640x640x4_M640x1x4, 1640960,
2962, sasum, M640x640x4_M640x1x4, 1640960,
2963, sasum, M640x640x4_M640x1x4, 1640960,
2964, sasum, M640x640x4_M640x1x4, 1640960,
2965, sasum, M640x640x4_M640x1x4, 1640960,
2966, sasum, M640x640x4_M640x1x4, 1640960,
2967, slaset, M640x1x4, 2560,
2968, sgeadd, M640x1x4_M640x1x4, 5120,
2969, sgeadd, M640x1x4_M640x1x4, 5120,
2970, sgeadd, M640x1x4_M640x1x4, 5120,
2971, sgeadd, M640x1x4_M640x1x4, 5120,
2972, sgeadd, M640x1x4_M640x1x4, 5120,
2973, sgeadd, M640x1x4_M640x1x4, 5120,
2974, sgeadd, M640x1x4_M640x1x4, 5120,
2975, sgeadd, M640x1x4_M640x1x4, 5120,
2976, sgeadd, M640x1x4_M640x1x4, 5120,
2977, sgeadd, M640x1x4_M640x1x4, 5120,
2978, sgeadd, M640x1x4_M640x1x4, 5120,
2979, sgeadd, M640x1x4_M640x1x4, 5120,
2980, sgeadd, M640x1x4_M640x1x4, 5120,
2981, sgeadd, M640x1x4_M640x1x4, 5120,
2982, sgeadd, M640x1x4_M640x1x4, 5120,
