58, slaset, M64x1x4, 256,
59, sasum, M64x64x4_M64x1x4, 16640,
60, slaset, M64x1x4, 256,
61, sgeadd, M64x1x4_M64x1x4, 512,
62, slange, M64x1x4_V64x1_M64x1x4, 576,
63, slaset, M1x1x4, 4,
64, slange_max, M64x1x4_M1x1x4, 260,
65, slange_max, M1x1x4_M1x1x4, 8,
66, slacpy, M1x1x4_M64x1x4, 260,
