787, slaset, M64x1x4, 256,
788, slaset, M64x1x4, 256,
789, slaset, M64x1x4, 256,
790, slaset, M64x1x4, 256,
791, slaset, M64x1x4, 256,
792, slaset, M64x1x4, 256,
793, slaset, M64x1x4, 256,
794, slaset, M64x1x4, 256,
795, slaset, M64x1x4, 256,
796, slaset, M64x1x4, 256,
797, sasum, M64x64x4_M64x1x4, 16640,
798, sasum, M64x64x4_M64x1x4, 16640,
799, sasum, M64x64x4_M64x1x4, 16640,
800, sasum, M64x64x4_M64x1x4, 16640,
801, sasum, M64x64x4_M64x1x4, 16640,
802, sasum, M64x64x4_M64x1x4, 16640,
803, sasum, M64x64x4_M64x1x4, 16640,
804, sasum, M64x64x4_M64x1x4, 16640,
805, sasum, M64x64x4_M64x1x4, 16640,
806, sasum, M64x64x4_M64x1x4, 16640,
807, slaset, M64x1x4, 256,
808, sgeadd, M64x1x4_M64x1x4, 512,
809, sgeadd, M64x1x4_M64x1x4, 512,
810, sgeadd, M64x1x4_M64x1x4, 512,
811, sgeadd, M64x1x4_M64x1x4, 512,
812, sgeadd, M64x1x4_M64x1x4, 512,
813, sgeadd, M64x1x4_M64x1x4, 512,
814, sgeadd, M64x1x4_M64x1x4, 512,
815, sgeadd, M64x1x4_M64x1x4, 512,
816, sgeadd, M64x1x4_M64x1x4, 512,
817, sgeadd, M64x1x4_M64x1x4, 512,
818, slange, M64x1x4_V64x1_M64x1x4, 576,
819, slaset, M64x1x4, 256,
820, slaset, M64x1x4, 256,
821, slaset, M64x1x4, 256,
822, slaset, M64x1x4, 256,
823, slaset, M64x1x4, 256,
824, slaset, M64x1x4, 256,
825, slaset, M64x1x4, 256,
826, slaset, M64x1x4, 256,
827, slaset, M64x1x4, 256,
828, slaset, M64x1x4, 256,
829, sasum, M64x64x4_M64x1x4, 16640,
830, sasum, M64x64x4_M64x1x4, 16640,
831, sasum, M64x64x4_M64x1x4, 16640,
832, sasum, M64x64x4_M64x1x4, 16640,
833, sasum, M64x64x4_M64x1x4, 16640,
834, sasum, M64x64x4_M64x1x4, 16640,
835, sasum, M64x64x4_M64x1x4, 16640,
836, sasum, M64x64x4_M64x1x4, 16640,
837, sasum, M64x64x4_M64x1x4, 16640,
838, sasum, M64x64x4_M64x1x4, 16640,
839, slaset, M64x1x4, 256,
840, sgeadd, M64x1x4_M64x1x4, 512,
841, sgeadd, M64x1x4_M64x1x4, 512,
842, sgeadd, M64x1x4_M64x1x4, 512,
843, sgeadd, M64x1x4_M64x1x4, 512,
844, sgeadd, M64x1x4_M64x1x4, 512,
845, sgeadd, M64x1x4_M64x1x4, 512,
846, sgeadd, M64x1x4_M64x1x4, 512,
847, sgeadd, M64x1x4_M64x1x4, 512,
848, sgeadd, M64x1x4_M64x1x4, 512,
849, sgeadd, M64x1x4_M64x1x4, 512,
850, slange, M64x1x4_V64x1_M64x1x4, 576,
851, slaset, M64x1x4, 256,
852, slaset, M64x1x4, 256,
853, slaset, M64x1x4, 256,
854, slaset, M64x1x4, 256,
855, slaset, M64x1x4, 256,
856, slaset, M64x1x4, 256,
857, slaset, M64x1x4, 256,
858, slaset, M64x1x4, 256,
859, slaset, M64x1x4, 256,
860, slaset, M64x1x4, 256,
861, sasum, M64x64x4_M64x1x4, 16640,
862, sasum, M64x64x4_M64x1x4, 16640,
863, sasum, M64x64x4_M64x1x4, 16640,
864, sasum, M64x64x4_M64x1x4, 16640,
865, sasum, M64x64x4_M64x1x4, 16640,
866, sasum, M64x64x4_M64x1x4, 16640,
867, sasum, M64x64x4_M64x1x4, 16640,
868, sasum, M64x64x4_M64x1x4, 16640,
869, sasum, M64x64x4_M64x1x4, 16640,
870, sasum, M64x64x4_M64x1x4, 16640,
871, slaset, M64x1x4, 256,
872, sgeadd, M64x1x4_M64x1x4, 512,
873, sgeadd, M64x1x4_M64x1x4, 512,
874, sgeadd, M64x1x4_M64x1x4, 512,
875, sgeadd, M64x1x4_M64x1x4, 512,
876, sgeadd, M64x1x4_M64x1x4, 512,
877, sgeadd, M64x1x4_M64x1x4, 512,
878, sgeadd, M64x1x4_M64x1x4, 512,
879, sgeadd, M64x1x4_M64x1x4, 512,
880, sgeadd, M64x1x4_M64x1x4, 512,
881, sgeadd, M64x1x4_M64x1x4, 512,
882, slange, M64x1x4_V64x1_M64x1x4, 576,
883, slaset, M64x1x4, 256,
884, slaset, M64x1x4, 256,
885, slaset, M64x1x4, 256,
886, slaset, M64x1x4, 256,
887, slaset, M64x1x4, 256,
888, slaset, M64x1x4, 256,
889, slaset, M64x1x4, 256,
890, slaset, M64x1x4, 256,
891, slaset, M64x1x4, 256,
892, slaset, M64x1x4, 256,
893, sasum, M64x64x4_M64x1x4, 16640,
894, sasum, M64x64x4_M64x1x4, 16640,
895, sasum, M64x64x4_M64x1x4, 16640,
896, sasum, M64x64x4_M64x1x4, 16640,
897, sasum, M64x64x4_M64x1x4, 16640,
898, sasum, M64x64x4_M64x1x4, 16640,
899, sasum, M64x64x4_M64x1x4, 16640,
900, sasum, M64x64x4_M64x1x4, 16640,
901, sasum, M64x64x4_M64x1x4, 16640,
902, sasum, M64x64x4_M64x1x4, 16640,
903, slaset, M64x1x4, 256,
904, sgeadd, M64x1x4_M64x1x4, 512,
905, sgeadd, M64x1x4_M64x1x4, 512,
906, sgeadd, M64x1x4_M64x1x4, 512,
907, sgeadd, M64x1x4_M64x1x4, 512,
908, sgeadd, M64x1x4_M64x1x4, 512,
909, sgeadd, M64x1x4_M64x1x4, 512,
910, sgeadd, M64x1x4_M64x1x4, 512,
911, sgeadd, M64x1x4_M64x1x4, 512,
912, sgeadd, M64x1x4_M64x1x4, 512,
913, sgeadd, M64x1x4_M64x1x4, 512,
914, slange, M64x1x4_V64x1_M64x1x4, 576,
915, slaset, M64x1x4, 256,
916, slaset, M64x1x4, 256,
917, slaset, M64x1x4, 256,
918, slaset, M64x1x4, 256,
919, slaset, M64x1x4, 256,
920, slaset, M64x1x4, 256,
921, slaset, M64x1x4, 256,
922, slaset, M64x1x4, 256,
923, slaset, M64x1x4, 256,
924, slaset, M64x1x4, 256,
925, sasum, M64x64x4_M64x1x4, 16640,
926, sasum, M64x64x4_M64x1x4, 16640,
927, sasum, M64x64x4_M64x1x4, 16640,
928, sasum, M64x64x4_M64x1x4, 16640,
929, sasum, M64x64x4_M64x1x4, 16640,
930, sasum, M64x64x4_M64x1x4, 16640,
931, sasum, M64x64x4_M64x1x4, 16640,
932, sasum, M64x64x4_M64x1x4, 16640,
933, sasum, M64x64x4_M64x1x4, 16640,
934, sasum, M64x64x4_M64x1x4, 16640,
935, slaset, M64x1x4, 256,
936, sgeadd, M64x1x4_M64x1x4, 512,
937, sgeadd, M64x1x4_M64x1x4, 512,
938, sgeadd, M64x1x4_M64x1x4, 512,
939, sgeadd, M64x1x4_M64x1x4, 512,
940, sgeadd, M64x1x4_M64x1x4, 512,
941, sgeadd, M64x1x4_M64x1x4, 512,
942, sgeadd, M64x1x4_M64x1x4, 512,
943, sgeadd, M64x1x4_M64x1x4, 512,
944, sgeadd, M64x1x4_M64x1x4, 512,
945, sgeadd, M64x1x4_M64x1x4, 512,
946, slange, M64x1x4_V64x1_M64x1x4, 576,
947, slaset, M64x1x4, 256,
948, slaset, M64x1x4, 256,
949, slaset, M64x1x4, 256,
950, slaset, M64x1x4, 256,
951, slaset, M64x1x4, 256,
952, slaset, M64x1x4, 256,
953, slaset, M64x1x4, 256,
954, slaset, M64x1x4, 256,
955, slaset, M64x1x4, 256,
956, slaset, M64x1x4, 256,
957, sasum, M64x64x4_M64x1x4, 16640,
958, sasum, M64x64x4_M64x1x4, 16640,
959, sasum, M64x64x4_M64x1x4, 16640,
960, sasum, M64x64x4_M64x1x4, 16640,
961, sasum, M64x64x4_M64x1x4, 16640,
962, sasum, M64x64x4_M64x1x4, 16640,
963, sasum, M64x64x4_M64x1x4, 16640,
964, sasum, M64x64x4_M64x1x4, 16640,
965, sasum, M64x64x4_M64x1x4, 16640,
966, sasum, M64x64x4_M64x1x4, 16640,
967, slaset, M64x1x4, 256,
968, sgeadd, M64x1x4_M64x1x4, 512,
969, sgeadd, M64x1x4_M64x1x4, 512,
970, sgeadd, M64x1x4_M64x1x4, 512,
971, sgeadd, M64x1x4_M64x1x4, 512,
972, sgeadd, M64x1x4_M64x1x4, 512,
973, sgeadd, M64x1x4_M64x1x4, 512,
974, sgeadd, M64x1x4_M64x1x4, 512,
975, sgeadd, M64x1x4_M64x1x4, 512,
976, sgeadd, M64x1x4_M64x1x4, 512,
977, sgeadd, M64x1x4_M64x1x4, 512,
978, slange, M64x1x4_V64x1_M64x1x4, 576,
979, slaset, M64x1x4, 256,
980, slaset, M64x1x4, 256,
981, slaset, M64x1x4, 256,
982, slaset, M64x1x4, 256,
983, slaset, M64x1x4, 256,
984, slaset, M64x1x4, 256,
985, slaset, M64x1x4, 256,
986, slaset, M64x1x4, 256,
987, slaset, M64x1x4, 256,
988, slaset, M64x1x4, 256,
989, sasum, M64x64x4_M64x1x4, 16640,
990, sasum, M64x64x4_M64x1x4, 16640,
991, sasum, M64x64x4_M64x1x4, 16640,
992, sasum, M64x64x4_M64x1x4, 16640,
993, sasum, M64x64x4_M64x1x4, 16640,
994, sasum, M64x64x4_M64x1x4, 16640,
995, sasum, M64x64x4_M64x1x4, 16640,
996, sasum, M64x64x4_M64x1x4, 16640,
997, sasum, M64x64x4_M64x1x4, 16640,
998, sasum, M64x64x4_M64x1x4, 16640,
999, slaset, M64x1x4, 256,
1000, sgeadd, M64x1x4_M64x1x4, 512,
1001, sgeadd, M64x1x4_M64x1x4, 512,
1002, sgeadd, M64x1x4_M64x1x4, 512,
1003, sgeadd, M64x1x4_M64x1x4, 512,
1004, sgeadd, M64x1x4_M64x1x4, 512,
1005, sgeadd, M64x1x4_M64x1x4, 512,
1006, sgeadd, M64x1x4_M64x1x4, 512,
1007, sgeadd, M64x1x4_M64x1x4, 512,
1008, sgeadd, M64x1x4_M64x1x4, 512,
1009, sgeadd, M64x1x4_M64x1x4, 512,
1010, slange, M64x1x4_V64x1_M64x1x4, 576,
1011, slaset, M64x1x4, 256,
1012, slaset, M64x1x4, 256,
1013, slaset, M64x1x4, 256,
1014, slaset, M64x1x4, 256,
1015, slaset, M64x1x4, 256,
1016, slaset, M64x1x4, 256,
1017, slaset, M64x1x4, 256,
1018, slaset, M64x1x4, 256,
1019, slaset, M64x1x4, 256,
1020, slaset, M64x1x4, 256,
1021, sasum, M64x64x4_M64x1x4, 16640,
1022, sasum, M64x64x4_M64x1x4, 16640,
1023, sasum, M64x64x4_M64x1x4, 16640,
1024, sasum, M64x64x4_M64x1x4, 16640,
1025, sasum, M64x64x4_M64x1x4, 16640,
1026, sasum, M64x64x4_M64x1x4, 16640,
1027, sasum, M64x64x4_M64x1x4, 16640,
1028, sasum, M64x64x4_M64x1x4, 16640,
1029, sasum, M64x64x4_M64x1x4, 16640,
1030, sasum, M64x64x4_M64x1x4, 16640,
1031, slaset, M64x1x4, 256,
1032, sgeadd, M64x1x4_M64x1x4, 512,
1033, sgeadd, M64x1x4_M64x1x4, 512,
1034, sgeadd, M64x1x4_M64x1x4, 512,
1035, sgeadd, M64x1x4_M64x1x4, 512,
1036, sgeadd, M64x1x4_M64x1x4, 512,
1037, sgeadd, M64x1x4_M64x1x4, 512,
1038, sgeadd, M64x1x4_M64x1x4, 512,
1039, sgeadd, M64x1x4_M64x1x4, 512,
