3060, slaset, M320x1x4, 1280,
3061, slaset, M320x1x4, 1280,
3062, slaset, M320x1x4, 1280,
3063, slaset, M320x1x4, 1280,
3064, slaset, M320x1x4, 1280,
3065, slaset, M320x1x4, 1280,
3066, slaset, M320x1x4, 1280,
3067, slaset, M320x1x4, 1280,
3068, slaset, M320x1x4, 1280,
3069, slaset, M320x1x4, 1280,
3070, slaset, M320x1x4, 1280,
3071, sasum, M320x320x4_M320x1x4, 410880,
3072, sasum, M320x320x4_M320x1x4, 410880,
3073, sasum, M320x320x4_M320x1x4, 410880,
3074, sasum, M320x320x4_M320x1x4, 410880,
3075, sasum, M320x320x4_M320x1x4, 410880,
3076, sasum, M320x320x4_M320x1x4, 410880,
3077, sasum, M320x320x4_M320x1x4, 410880,
3078, sasum, M320x320x4_M320x1x4, 410880,
3079, sasum, M320x320x4_M320x1x4, 410880,
3080, sasum, M320x320x4_M320x1x4, 410880,
3081, sasum, M320x320x4_M320x1x4, 410880,
3082, sasum, M320x320x4_M320x1x4, 410880,
3083, sasum, M320x320x4_M320x1x4, 410880,
3084, sasum, M320x320x4_M320x1x4, 410880,
3085, sasum, M320x320x4_M320x1x4, 410880,
3086, sasum, M320x320x4_M320x1x4, 410880,
3087, sasum, M320x320x4_M320x1x4, 410880,
3088, sasum, M320x320x4_M320x1x4, 410880,
3089, sasum, M320x320x4_M320x1x4, 410880,
3090, sasum, M320x320x4_M320x1x4, 410880,
3091, slaset, M320x1x4, 1280,
3092, sgeadd, M320x1x4_M320x1x4, 2560,
3093, sgeadd, M320x1x4_M320x1x4, 2560,
3094, sgeadd, M320x1x4_M320x1x4, 2560,
3095, sgeadd, M320x1x4_M320x1x4, 2560,
3096, sgeadd, M320x1x4_M320x1x4, 2560,
3097, sgeadd, M320x1x4_M320x1x4, 2560,
3098, sgeadd, M320x1x4_M320x1x4, 2560,
3099, sgeadd, M320x1x4_M320x1x4, 2560,
3100, sgeadd, M320x1x4_M320x1x4, 2560,
3101, sgeadd, M320x1x4_M320x1x4, 2560,
3102, sgeadd, M320x1x4_M320x1x4, 2560,
3103, sgeadd, M320x1x4_M320x1x4, 2560,
3104, sgeadd, M320x1x4_M320x1x4, 2560,
3105, sgeadd, M320x1x4_M320x1x4, 2560,
3106, sgeadd, M320x1x4_M320x1x4, 2560,
3107, sgeadd, M320x1x4_M320x1x4, 2560,
3108, sgeadd, M320x1x4_M320x1x4, 2560,
3109, sgeadd, M320x1x4_M320x1x4, 2560,
3110, sgeadd, M320x1x4_M320x1x4, 2560,
3111, sgeadd, M320x1x4_M320x1x4, 2560,
3112, slange, M320x1x4_V320x1_M320x1x4, 2880,
3113, slaset, M320x1x4, 1280,
3114, slaset, M320x1x4, 1280,
3115, slaset, M320x1x4, 1280,
3116, slaset, M320x1x4, 1280,
3117, slaset, M320x1x4, 1280,
3118, slaset, M320x1x4, 1280,
3119, slaset, M320x1x4, 1280,
3120, slaset, M320x1x4, 1280,
3121, slaset, M320x1x4, 1280,
3122, slaset, M320x1x4, 1280,
3123, slaset, M320x1x4, 1280,
3124, slaset, M320x1x4, 1280,
3125, slaset, M320x1x4, 1280,
3126, slaset, M320x1x4, 1280,
3127, slaset, M320x1x4, 1280,
3128, slaset, M320x1x4, 1280,
3129, slaset, M320x1x4, 1280,
3130, slaset, M320x1x4, 1280,
3131, slaset, M320x1x4, 1280,
3132, slaset, M320x1x4, 1280,
3133, sasum, M320x320x4_M320x1x4, 410880,
3134, sasum, M320x320x4_M320x1x4, 410880,
3135, sasum, M320x320x4_M320x1x4, 410880,
3136, sasum, M320x320x4_M320x1x4, 410880,
3137, sasum, M320x320x4_M320x1x4, 410880,
3138, sasum, M320x320x4_M320x1x4, 410880,
3139, sasum, M320x320x4_M320x1x4, 410880,
3140, sasum, M320x320x4_M320x1x4, 410880,
3141, sasum, M320x320x4_M320x1x4, 410880,
3142, sasum, M320x320x4_M320x1x4, 410880,
3143, sasum, M320x320x4_M320x1x4, 410880,
3144, sasum, M320x320x4_M320x1x4, 410880,
3145, sasum, M320x320x4_M320x1x4, 410880,
3146, sasum, M320x320x4_M320x1x4, 410880,
3147, sasum, M320x320x4_M320x1x4, 410880,
3148, sasum, M320x320x4_M320x1x4, 410880,
3149, sasum, M320x320x4_M320x1x4, 410880,
3150, sasum, M320x320x4_M320x1x4, 410880,
3151, sasum, M320x320x4_M320x1x4, 410880,
3152, sasum, M320x320x4_M320x1x4, 410880,
3153, slaset, M320x1x4, 1280,
3154, sgeadd, M320x1x4_M320x1x4, 2560,
3155, sgeadd, M320x1x4_M320x1x4, 2560,
3156, sgeadd, M320x1x4_M320x1x4, 2560,
3157, sgeadd, M320x1x4_M320x1x4, 2560,
3158, sgeadd, M320x1x4_M320x1x4, 2560,
3159, sgeadd, M320x1x4_M320x1x4, 2560,
3160, sgeadd, M320x1x4_M320x1x4, 2560,
3161, sgeadd, M320x1x4_M320x1x4, 2560,
3162, sgeadd, M320x1x4_M320x1x4, 2560,
3163, sgeadd, M320x1x4_M320x1x4, 2560,
3164, sgeadd, M320x1x4_M320x1x4, 2560,
3165, sgeadd, M320x1x4_M320x1x4, 2560,
3166, sgeadd, M320x1x4_M320x1x4, 2560,
3167, sgeadd, M320x1x4_M320x1x4, 2560,
3168, sgeadd, M320x1x4_M320x1x4, 2560,
3169, sgeadd, M320x1x4_M320x1x4, 2560,
3170, sgeadd, M320x1x4_M320x1x4, 2560,
3171, sgeadd, M320x1x4_M320x1x4, 2560,
