247, sasum, M128x128x4_M128x1x4, 66048,
248, sasum, M128x128x4_M128x1x4, 66048,
249, sasum, M128x128x4_M128x1x4, 66048,
250, sasum, M128x128x4_M128x1x4, 66048,
251, sasum, M128x128x4_M128x1x4, 66048,
264, sasum, M128x128x4_M128x1x4, 66048,
265, sasum, M128x128x4_M128x1x4, 66048,
266, sasum, M128x128x4_M128x1x4, 66048,
267, sasum, M128x128x4_M128x1x4, 66048,
268, sasum, M128x128x4_M128x1x4, 66048,
281, sasum, M128x128x4_M128x1x4, 66048,
282, sasum, M128x128x4_M128x1x4, 66048,
283, sasum, M128x128x4_M128x1x4, 66048,
284, sasum, M128x128x4_M128x1x4, 66048,
285, sasum, M128x128x4_M128x1x4, 66048,
298, sasum, M128x128x4_M128x1x4, 66048,
299, sasum, M128x128x4_M128x1x4, 66048,
300, sasum, M128x128x4_M128x1x4, 66048,
301, sasum, M128x128x4_M128x1x4, 66048,
302, sasum, M128x128x4_M128x1x4, 66048,
315, sasum, M128x128x4_M128x1x4, 66048,
316, sasum, M128x128x4_M128x1x4, 66048,
317, sasum, M128x128x4_M128x1x4, 66048,
318, sasum, M128x128x4_M128x1x4, 66048,
319, sasum, M128x128x4_M128x1x4, 66048,
