9005, spotrf, M960x960x4, 3686400,	9045, spotrf, M960x960x4, 3686400, 40
9006, strsm, M960x960x4_M960x960x4, 7372800,	9046, strsm, M960x960x4_M960x960x4, 7372800, 40
9007, strsm, M960x960x4_M960x960x4, 7372800,	9047, strsm, M960x960x4_M960x960x4, 7372800, 40
9008, strsm, M960x960x4_M960x960x4, 7372800,	9048, strsm, M960x960x4_M960x960x4, 7372800, 40
9009, strsm, M960x960x4_M960x960x4, 7372800,	9049, strsm, M960x960x4_M960x960x4, 7372800, 40
9010, strsm, M960x960x4_M960x960x4, 7372800,	9050, strsm, M960x960x4_M960x960x4, 7372800, 40
9011, strsm, M960x960x4_M960x960x4, 7372800,	9051, strsm, M960x960x4_M960x960x4, 7372800, 40
9012, strsm, M960x960x4_M960x960x4, 7372800,	9052, strsm, M960x960x4_M960x960x4, 7372800, 40
9013, strsm, M960x960x4_M960x960x4, 7372800,	9053, strsm, M960x960x4_M960x960x4, 7372800, 40
9014, strsm, M960x960x4_M960x960x4, 7372800,	9054, strsm, M960x960x4_M960x960x4, 7372800, 40
9015, strsm, M960x960x4_M960x960x4, 7372800,	9055, strsm, M960x960x4_M960x960x4, 7372800, 40
9016, strsm, M960x960x4_M960x960x4, 7372800,	9056, strsm, M960x960x4_M960x960x4, 7372800, 40
9017, strsm, M960x960x4_M960x960x4, 7372800,	9057, strsm, M960x960x4_M960x960x4, 7372800, 40
9018, strsm, M960x960x4_M960x960x4, 7372800,	9058, strsm, M960x960x4_M960x960x4, 7372800, 40
9019, strsm, M960x960x4_M960x960x4, 7372800,	9059, strsm, M960x960x4_M960x960x4, 7372800, 40
9020, strsm, M960x960x4_M960x960x4, 7372800,	9060, strsm, M960x960x4_M960x960x4, 7372800, 40
9021, strsm, M960x960x4_M960x960x4, 7372800,	9061, strsm, M960x960x4_M960x960x4, 7372800, 40
9022, strsm, M960x960x4_M960x960x4, 7372800,	9062, strsm, M960x960x4_M960x960x4, 7372800, 40
9023, strsm, M960x960x4_M960x960x4, 7372800,	9063, strsm, M960x960x4_M960x960x4, 7372800, 40
9024, strsm, M960x960x4_M960x960x4, 7372800,	9064, strsm, M960x960x4_M960x960x4, 7372800, 40
9027, ssyrk, M960x960x4_M960x960x4, 7372800,	9067, ssyrk, M960x960x4_M960x960x4, 7372800, 40
9028, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	9068, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
9029, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	9069, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
9030, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	9070, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
9031, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	9071, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
9032, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200,	9072, sgemm, M960x960x4_M960x960x4_M960x960x4, 11059200, 40
