9005, spotrf, M64x64x4, 16384,	9045, spotrf, M64x64x4, 16384, 40
9006, strsm, M64x64x4_M64x64x4, 32768,	9046, strsm, M64x64x4_M64x64x4, 32768, 40
9007, strsm, M64x64x4_M64x64x4, 32768,	9047, strsm, M64x64x4_M64x64x4, 32768, 40
9008, strsm, M64x64x4_M64x64x4, 32768,	9048, strsm, M64x64x4_M64x64x4, 32768, 40
9009, strsm, M64x64x4_M64x64x4, 32768,	9049, strsm, M64x64x4_M64x64x4, 32768, 40
9010, strsm, M64x64x4_M64x64x4, 32768,	9050, strsm, M64x64x4_M64x64x4, 32768, 40
9011, strsm, M64x64x4_M64x64x4, 32768,	9051, strsm, M64x64x4_M64x64x4, 32768, 40
9012, strsm, M64x64x4_M64x64x4, 32768,	9052, strsm, M64x64x4_M64x64x4, 32768, 40
9013, strsm, M64x64x4_M64x64x4, 32768,	9053, strsm, M64x64x4_M64x64x4, 32768, 40
9014, strsm, M64x64x4_M64x64x4, 32768,	9054, strsm, M64x64x4_M64x64x4, 32768, 40
9015, strsm, M64x64x4_M64x64x4, 32768,	9055, strsm, M64x64x4_M64x64x4, 32768, 40
9016, strsm, M64x64x4_M64x64x4, 32768,	9056, strsm, M64x64x4_M64x64x4, 32768, 40
9017, strsm, M64x64x4_M64x64x4, 32768,	9057, strsm, M64x64x4_M64x64x4, 32768, 40
9018, strsm, M64x64x4_M64x64x4, 32768,	9058, strsm, M64x64x4_M64x64x4, 32768, 40
9019, strsm, M64x64x4_M64x64x4, 32768,	9059, strsm, M64x64x4_M64x64x4, 32768, 40
9020, strsm, M64x64x4_M64x64x4, 32768,	9060, strsm, M64x64x4_M64x64x4, 32768, 40
9021, strsm, M64x64x4_M64x64x4, 32768,	9061, strsm, M64x64x4_M64x64x4, 32768, 40
9022, strsm, M64x64x4_M64x64x4, 32768,	9062, strsm, M64x64x4_M64x64x4, 32768, 40
9023, strsm, M64x64x4_M64x64x4, 32768,	9063, strsm, M64x64x4_M64x64x4, 32768, 40
9024, strsm, M64x64x4_M64x64x4, 32768,	9064, strsm, M64x64x4_M64x64x4, 32768, 40
9027, ssyrk, M64x64x4_M64x64x4, 32768,	9067, ssyrk, M64x64x4_M64x64x4, 32768, 40
9028, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9068, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9029, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9069, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9030, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9070, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9031, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9071, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9032, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9072, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9033, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9073, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9034, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9074, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9035, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9075, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9036, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9076, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9037, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9077, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9038, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9078, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9039, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9079, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9040, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9080, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9041, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9081, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9042, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9082, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9043, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9083, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9044, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9084, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9045, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9085, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9048, ssyrk, M64x64x4_M64x64x4, 32768,	9088, ssyrk, M64x64x4_M64x64x4, 32768, 40
9049, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9089, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9050, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9090, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9051, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9091, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9052, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9092, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9053, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9093, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9054, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9094, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
9055, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152,	9095, sgemm, M64x64x4_M64x64x4_M64x64x4, 49152, 40
